@RELATION monk-2

@ATTRIBUTE A1 NUMERIC
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 NUMERIC
@ATTRIBUTE A5 NUMERIC
@ATTRIBUTE A6 NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
1,1,1,1,1,1,1
1,1,1,1,1,2,1
1,1,1,1,2,2,1
1,1,1,1,3,1,1
1,1,1,1,3,2,1
1,1,1,1,4,1,0
1,1,1,1,4,2,0
1,1,1,2,1,1,1
1,1,1,2,1,2,1
1,1,1,2,2,1,1
1,1,1,2,2,2,1
1,1,1,2,3,1,1
1,1,1,2,3,2,1
1,1,1,2,4,1,0
1,1,1,2,4,2,0
1,1,1,3,1,1,1
1,1,1,3,1,2,1
1,1,1,3,2,2,1
1,1,1,3,3,1,1
1,1,1,3,4,1,0
1,1,1,3,4,2,0
1,1,2,1,1,1,1
1,1,2,1,1,2,1
1,1,2,1,2,2,1
1,1,2,1,3,1,1
1,1,2,1,4,1,0
1,1,2,1,4,2,0
1,1,2,2,1,1,1
1,1,2,2,1,2,1
1,1,2,2,2,1,1
1,1,2,2,2,2,1
1,1,2,2,3,1,1
1,1,2,2,3,2,1
1,1,2,2,4,1,0
1,1,2,2,4,2,0
1,1,2,3,1,1,1
1,1,2,3,1,2,1
1,1,2,3,2,1,1
1,1,2,3,2,2,1
1,1,2,3,3,1,1
1,1,2,3,3,2,1
1,1,2,3,4,1,0
1,1,2,3,4,2,0
1,2,1,1,1,1,1
1,2,1,1,1,2,1
1,2,1,1,2,1,1
1,2,1,1,2,2,1
1,2,1,1,3,1,1
1,2,1,1,3,2,1
1,2,1,1,4,1,0
1,2,1,2,1,1,1
1,2,1,2,1,2,1
1,2,1,2,2,1,1
1,2,1,2,2,2,1
1,2,1,2,3,1,1
1,2,1,2,3,2,1
1,2,1,2,4,1,0
1,2,1,2,4,2,0
1,2,1,3,1,1,1
1,2,1,3,1,2,1
1,2,1,3,2,1,1
1,2,1,3,2,2,1
1,2,1,3,3,1,1
1,2,1,3,3,2,1
1,2,1,3,4,1,0
1,2,1,3,4,2,0
1,2,2,1,1,1,1
1,2,2,1,1,2,1
1,2,2,1,2,1,1
1,2,2,1,2,2,1
1,2,2,1,3,1,1
1,2,2,1,3,2,1
1,2,2,1,4,1,0
1,2,2,1,4,2,0
1,2,2,2,1,2,1
1,2,2,2,2,1,1
1,2,2,2,3,1,1
1,2,2,2,3,2,1
1,2,2,2,4,1,0
1,2,2,2,4,2,0
1,2,2,3,1,1,1
1,2,2,3,1,2,1
1,2,2,3,2,1,1
1,2,2,3,3,1,1
1,2,2,3,3,2,1
1,2,2,3,4,2,0
1,3,1,1,1,1,0
1,3,1,1,1,2,0
1,3,1,1,2,1,0
1,3,1,1,2,2,0
1,3,1,1,3,1,1
1,3,1,1,3,2,1
1,3,1,1,4,1,0
1,3,1,1,4,2,0
1,3,1,2,1,1,0
1,3,1,2,2,1,0
1,3,1,2,2,2,0
1,3,1,2,3,2,0
1,3,1,2,4,1,0
1,3,1,3,1,1,0
1,3,1,3,1,2,0
1,3,1,3,2,1,0
1,3,1,3,2,2,0
1,3,1,3,3,1,0
1,3,1,3,3,2,0
1,3,1,3,4,1,0
1,3,1,3,4,2,0
1,3,2,1,1,1,0
1,3,2,1,2,1,0
1,3,2,1,2,2,0
1,3,2,1,3,1,1
1,3,2,1,3,2,1
1,3,2,1,4,1,0
1,3,2,1,4,2,0
1,3,2,2,1,1,0
1,3,2,2,1,2,0
1,3,2,2,2,1,0
1,3,2,2,2,2,0
1,3,2,2,3,1,0
1,3,2,2,4,1,0
1,3,2,2,4,2,0
1,3,2,3,1,1,0
1,3,2,3,1,2,0
1,3,2,3,2,1,0
1,3,2,3,2,2,0
1,3,2,3,3,1,0
1,3,2,3,3,2,0
1,3,2,3,4,1,0
1,3,2,3,4,2,0
2,1,1,1,1,1,1
2,1,1,1,1,2,1
2,1,1,1,2,1,1
2,1,1,1,2,2,1
2,1,1,1,3,1,1
2,1,1,1,3,2,1
2,1,1,1,4,1,0
2,1,1,1,4,2,0
2,1,1,2,1,1,1
2,1,1,2,1,2,1
2,1,1,2,2,1,1
2,1,1,2,2,2,1
2,1,1,2,3,1,1
2,1,1,2,3,2,1
2,1,1,2,4,1,0
2,1,1,2,4,2,0
2,1,1,3,1,2,1
2,1,1,3,2,1,1
2,1,1,3,2,2,1
2,1,1,3,4,1,0
2,1,1,3,4,2,0
2,1,2,1,1,1,1
2,1,2,1,1,2,1
2,1,2,1,2,2,1
2,1,2,1,3,1,1
2,1,2,1,3,2,1
2,1,2,1,4,1,0
2,1,2,1,4,2,0
2,1,2,2,1,1,1
2,1,2,2,1,2,1
2,1,2,2,2,1,1
2,1,2,2,2,2,1
2,1,2,2,3,1,1
2,1,2,2,3,2,1
2,1,2,2,4,1,0
2,1,2,2,4,2,0
2,1,2,3,1,1,1
2,1,2,3,1,2,1
2,1,2,3,3,1,1
2,1,2,3,3,2,1
2,1,2,3,4,1,0
2,2,1,1,1,2,1
2,2,1,1,2,1,1
2,2,1,1,2,2,1
2,2,1,1,3,1,1
2,2,1,1,3,2,1
2,2,1,1,4,1,0
2,2,1,1,4,2,0
2,2,1,2,1,1,1
2,2,1,2,1,2,1
2,2,1,2,2,2,1
2,2,1,2,3,1,1
2,2,1,2,3,2,1
2,2,1,2,4,1,0
2,2,1,3,1,1,1
2,2,1,3,1,2,1
2,2,1,3,2,1,1
2,2,1,3,2,2,1
2,2,1,3,3,1,1
2,2,1,3,3,2,1
2,2,1,3,4,1,0
2,2,1,3,4,2,0
2,2,2,1,1,1,1
2,2,2,1,1,2,1
2,2,2,1,2,1,1
2,2,2,1,2,2,1
2,2,2,1,3,1,1
2,2,2,1,3,2,1
2,2,2,1,4,1,0
2,2,2,1,4,2,0
2,2,2,2,1,1,1
2,2,2,2,1,2,1
2,2,2,2,2,1,1
2,2,2,2,2,2,1
2,2,2,2,3,1,1
2,2,2,2,3,2,1
2,2,2,2,4,1,0
2,2,2,2,4,2,0
2,2,2,3,1,1,1
2,2,2,3,1,2,1
2,2,2,3,2,1,1
2,2,2,3,2,2,1
2,2,2,3,3,1,1
2,2,2,3,4,1,0
2,2,2,3,4,2,0
2,3,1,1,1,1,0
2,3,1,1,1,2,0
2,3,1,1,2,1,0
2,3,1,1,2,2,0
2,3,1,1,3,1,1
2,3,1,1,3,2,1
2,3,1,1,4,1,0
2,3,1,1,4,2,0
2,3,1,2,1,1,0
2,3,1,2,1,2,0
2,3,1,2,2,2,0
2,3,1,2,3,1,0
2,3,1,2,3,2,0
2,3,1,2,4,2,0
2,3,1,3,1,1,0
2,3,1,3,1,2,0
2,3,1,3,2,1,0
2,3,1,3,2,2,0
2,3,1,3,3,1,0
2,3,1,3,4,1,0
2,3,2,1,1,1,0
2,3,2,1,1,2,0
2,3,2,1,2,1,0
2,3,2,1,2,2,0
2,3,2,1,3,1,1
2,3,2,1,3,2,1
2,3,2,1,4,1,0
2,3,2,1,4,2,0
2,3,2,2,1,1,0
2,3,2,2,1,2,0
2,3,2,2,2,1,0
2,3,2,2,2,2,0
2,3,2,2,3,2,0
2,3,2,2,4,1,0
2,3,2,2,4,2,0
2,3,2,3,1,1,0
2,3,2,3,1,2,0
2,3,2,3,2,1,0
2,3,2,3,2,2,0
2,3,2,3,3,1,0
2,3,2,3,3,2,0
2,3,2,3,4,1,0
2,3,2,3,4,2,0
3,1,1,1,1,1,1
3,1,1,1,1,2,1
3,1,1,1,2,1,1
3,1,1,1,2,2,1
3,1,1,1,3,1,1
3,1,1,1,3,2,1
3,1,1,1,4,1,0
3,1,1,1,4,2,0
3,1,1,2,1,2,1
3,1,1,2,2,1,1
3,1,1,2,2,2,1
3,1,1,2,3,1,1
3,1,1,2,3,2,1
3,1,1,2,4,1,0
3,1,1,2,4,2,0
3,1,1,3,1,1,1
3,1,1,3,1,2,1
3,1,1,3,2,1,1
3,1,1,3,2,2,1
3,1,1,3,3,1,1
3,1,1,3,3,2,1
3,1,1,3,4,1,0
3,1,2,1,1,1,1
3,1,2,1,1,2,1
3,1,2,1,2,1,1
3,1,2,1,2,2,1
3,1,2,1,3,2,1
3,1,2,1,4,1,0
3,1,2,1,4,2,0
3,1,2,2,1,1,1
3,1,2,2,1,2,1
3,1,2,2,2,1,1
3,1,2,2,3,1,1
3,1,2,2,3,2,1
3,1,2,2,4,2,0
3,1,2,3,1,1,1
3,1,2,3,1,2,1
3,1,2,3,2,1,1
3,1,2,3,2,2,1
3,1,2,3,3,1,1
3,1,2,3,3,2,1
3,1,2,3,4,2,0
3,2,1,1,1,1,1
3,2,1,1,1,2,1
3,2,1,1,2,1,1
3,2,1,1,2,2,1
3,2,1,1,3,1,1
3,2,1,1,3,2,1
3,2,1,1,4,1,0
3,2,1,1,4,2,0
3,2,1,2,1,1,1
3,2,1,2,1,2,1
3,2,1,2,2,1,1
3,2,1,2,3,1,1
3,2,1,2,3,2,1
3,2,1,2,4,1,0
3,2,1,2,4,2,0
3,2,1,3,1,1,1
3,2,1,3,1,2,1
3,2,1,3,2,1,1
3,2,1,3,2,2,1
3,2,1,3,3,1,1
3,2,1,3,3,2,1
3,2,1,3,4,1,0
3,2,2,1,1,1,1
3,2,2,1,1,2,1
3,2,2,1,2,1,1
3,2,2,1,3,1,1
3,2,2,1,4,2,0
3,2,2,2,1,1,1
3,2,2,2,1,2,1
3,2,2,2,2,1,1
3,2,2,2,2,2,1
3,2,2,2,3,1,1
3,2,2,2,3,2,1
3,2,2,2,4,2,0
3,2,2,3,1,1,1
3,2,2,3,1,2,1
3,2,2,3,2,1,1
3,2,2,3,2,2,1
3,2,2,3,3,1,1
3,2,2,3,3,2,1
3,2,2,3,4,1,0
3,2,2,3,4,2,0
3,3,1,1,1,1,0
3,3,1,1,1,2,0
3,3,1,1,2,1,0
3,3,1,1,2,2,0
3,3,1,1,3,1,1
3,3,1,1,3,2,1
3,3,1,1,4,1,0
3,3,1,2,1,1,0
3,3,1,2,1,2,0
3,3,1,2,2,1,0
3,3,1,2,2,2,0
3,3,1,2,3,1,0
3,3,1,2,3,2,0
3,3,1,2,4,1,0
3,3,1,2,4,2,0
3,3,1,3,1,1,0
3,3,1,3,1,2,0
3,3,1,3,2,1,0
3,3,1,3,2,2,0
3,3,1,3,3,1,0
3,3,1,3,3,2,0
3,3,1,3,4,1,0
3,3,1,3,4,2,0
3,3,2,1,1,1,0
3,3,2,1,1,2,0
3,3,2,1,2,1,0
3,3,2,1,2,2,0
3,3,2,1,3,1,1
3,3,2,1,3,2,1
3,3,2,1,4,1,0
3,3,2,1,4,2,0
3,3,2,2,1,1,0
3,3,2,2,1,2,0
3,3,2,2,2,1,0
3,3,2,2,2,2,0
3,3,2,2,3,1,0
3,3,2,2,3,2,0
3,3,2,2,4,1,0
3,3,2,2,4,2,0
3,3,2,3,1,1,0
3,3,2,3,1,2,0
3,3,2,3,2,1,0
3,3,2,3,2,2,0
3,3,2,3,3,1,0
3,3,2,3,3,2,0
3,3,2,3,4,1,0
3,3,2,3,4,2,0
1,1,1,1,2,1,1
1,1,1,3,2,1,1
1,1,1,3,3,2,1
1,1,2,1,2,1,1
1,1,2,1,3,2,1
1,2,1,1,4,2,0
1,2,2,2,1,1,1
1,2,2,2,2,2,1
1,2,2,3,2,2,1
1,2,2,3,4,1,0
1,3,1,2,1,2,0
1,3,1,2,3,1,0
1,3,1,2,4,2,0
1,3,2,1,1,2,0
1,3,2,2,3,2,0
2,1,1,3,1,1,1
2,1,1,3,3,1,1
2,1,1,3,3,2,1
2,1,2,1,2,1,1
2,1,2,3,2,1,1
2,1,2,3,2,2,1
2,1,2,3,4,2,0
2,2,1,1,1,1,1
2,2,1,2,2,1,1
2,2,1,2,4,2,0
2,2,2,3,3,2,1
2,3,1,2,2,1,0
2,3,1,2,4,1,0
2,3,1,3,3,2,0
2,3,1,3,4,2,0
2,3,2,2,3,1,0
3,1,1,2,1,1,1
3,1,1,3,4,2,0
3,1,2,1,3,1,1
3,1,2,2,2,2,1
3,1,2,2,4,1,0
3,1,2,3,4,1,0
3,2,1,2,2,2,1
3,2,1,3,4,2,0
3,2,2,1,2,2,1
3,2,2,1,3,2,1
3,2,2,1,4,1,0
3,2,2,2,4,1,0
3,3,1,1,4,2,0
