@RELATION myRel

@ATTRIBUTE Band1 NUMERIC
@ATTRIBUTE Band2 NUMERIC
@ATTRIBUTE Band3 NUMERIC
@ATTRIBUTE Band4 NUMERIC
@ATTRIBUTE Band5 NUMERIC
@ATTRIBUTE Band6 NUMERIC
@ATTRIBUTE Band7 NUMERIC
@ATTRIBUTE Band8 NUMERIC
@ATTRIBUTE Band9 NUMERIC
@ATTRIBUTE Band10 NUMERIC
@ATTRIBUTE Band11 NUMERIC
@ATTRIBUTE Band12 NUMERIC
@ATTRIBUTE Band13 NUMERIC
@ATTRIBUTE Band14 NUMERIC
@ATTRIBUTE Band15 NUMERIC
@ATTRIBUTE Band16 NUMERIC
@ATTRIBUTE Band17 NUMERIC
@ATTRIBUTE Band18 NUMERIC
@ATTRIBUTE Band19 NUMERIC
@ATTRIBUTE Band20 NUMERIC
@ATTRIBUTE Band21 NUMERIC
@ATTRIBUTE Band22 NUMERIC
@ATTRIBUTE Band23 NUMERIC
@ATTRIBUTE Band24 NUMERIC
@ATTRIBUTE Band25 NUMERIC
@ATTRIBUTE Band26 NUMERIC
@ATTRIBUTE Band27 NUMERIC
@ATTRIBUTE Band28 NUMERIC
@ATTRIBUTE Band29 NUMERIC
@ATTRIBUTE Band30 NUMERIC
@ATTRIBUTE Band31 NUMERIC
@ATTRIBUTE Band32 NUMERIC
@ATTRIBUTE Band33 NUMERIC
@ATTRIBUTE Band34 NUMERIC
@ATTRIBUTE Band35 NUMERIC
@ATTRIBUTE Band36 NUMERIC
@ATTRIBUTE Band37 NUMERIC
@ATTRIBUTE Band38 NUMERIC
@ATTRIBUTE Band39 NUMERIC
@ATTRIBUTE Band40 NUMERIC
@ATTRIBUTE Band41 NUMERIC
@ATTRIBUTE Band42 NUMERIC
@ATTRIBUTE Band43 NUMERIC
@ATTRIBUTE Band44 NUMERIC
@ATTRIBUTE Band45 NUMERIC
@ATTRIBUTE Band46 NUMERIC
@ATTRIBUTE Band47 NUMERIC
@ATTRIBUTE Band48 NUMERIC
@ATTRIBUTE Band49 NUMERIC
@ATTRIBUTE Band50 NUMERIC
@ATTRIBUTE Band51 NUMERIC
@ATTRIBUTE Band52 NUMERIC
@ATTRIBUTE Band53 NUMERIC
@ATTRIBUTE Band54 NUMERIC
@ATTRIBUTE Band55 NUMERIC
@ATTRIBUTE Band56 NUMERIC
@ATTRIBUTE Band57 NUMERIC
@ATTRIBUTE Band58 NUMERIC
@ATTRIBUTE Band59 NUMERIC
@ATTRIBUTE Band60 NUMERIC
@ATTRIBUTE Type {R, M}

@DATA
0.03,0.036,0.021,0.023,0.046,0.066,0.094,0.097,0.254,0.313,0.219,0.262,0.242,0.218,0.116,0.124,0.089,0.176,0.176,0.154,0.051,0.18,0.404,0.57,0.658,0.747,0.854,0.908,0.867,0.889,0.906,0.852,0.72,0.62,0.625,0.685,0.734,0.628,0.572,0.612,0.56,0.496,0.503,0.577,0.591,0.48,0.388,0.278,0.143,0.042,0.027,0.02,0.007,0.007,0.009,0.009,0.007,0.004,0.006,0.002,M
0.034,0.013,0.07,0.118,0.035,0.118,0.195,0.161,0.304,0.437,0.553,0.577,0.702,0.707,0.737,0.739,0.862,0.946,0.878,0.791,0.576,0.306,0.056,0.024,0.255,0.486,0.503,0.44,0.285,0.18,0.356,0.352,0.332,0.311,0.364,0.075,0.183,0.182,0.182,0.159,0.058,0.095,0.109,0.081,0.078,0.049,0.044,0.059,0.037,0.018,0.03,0.024,0.023,0.009,0.016,0.019,0.003,0.038,0.013,0.016,M
0.009,0.061,0.114,0.12,0.04,0.123,0.25,0.457,0.659,0.508,0.335,0.083,0.3,0.396,0.377,0.383,0.125,0.136,0.268,0.919,0.978,0.324,0.194,0.187,0.088,0.344,0.295,0.591,0.456,0.733,0.197,0.279,0.621,0.868,0.862,0.938,0.833,0.948,0.672,0.444,0.516,0.381,0.156,0.145,0.266,0.181,0.17,0.256,0.113,0.02,0.048,0.023,0.018,0.035,0.016,0.033,0.02,0.017,0.024,0.015,M
0.052,0.044,0.018,0.029,0.035,0.117,0.126,0.118,0.126,0.253,0.272,0.237,0.188,0.098,0.068,0.15,0.172,0.234,0.196,0.14,0.316,0.589,0.763,0.847,0.942,0.999,0.97,1.0,0.863,0.698,0.772,0.73,0.52,0.179,0.11,0.145,0.107,0.144,0.193,0.032,0.149,0.033,0.054,0.131,0.091,0.076,0.106,0.1,0.054,0.024,0.016,0.016,0.003,0.005,0.006,0.009,0.014,0.014,0.008,0.003,M
0.097,0.082,0.063,0.061,0.062,0.121,0.094,0.422,0.574,0.502,0.349,0.17,0.208,0.309,0.422,0.531,0.244,0.188,0.191,0.832,1.0,0.408,0.096,0.193,0.242,0.379,0.289,0.345,0.378,0.521,0.232,0.334,0.478,0.612,0.67,0.738,0.736,0.779,0.679,0.526,0.276,0.154,0.202,0.223,0.422,0.307,0.133,0.135,0.106,0.05,0.021,0.007,0.008,0.03,0.019,0.021,0.013,0.02,0.021,0.004,M
0.012,0.018,0.045,0.11,0.191,0.092,0.076,0.109,0.076,0.101,0.25,0.399,0.381,0.475,0.616,0.646,0.802,0.921,0.983,0.963,0.865,0.832,0.828,0.801,0.61,0.485,0.436,0.431,0.44,0.383,0.303,0.304,0.32,0.229,0.213,0.235,0.32,0.446,0.366,0.272,0.175,0.178,0.22,0.106,0.057,0.031,0.024,0.047,0.01,0.006,0.003,0.016,0.01,0.008,0.027,0.028,0.01,0.005,0.015,0.009,M
0.024,0.022,0.017,0.052,0.075,0.112,0.126,0.172,0.307,0.32,0.295,0.248,0.251,0.181,0.141,0.302,0.364,0.389,0.298,0.222,0.162,0.134,0.205,0.379,0.577,0.754,0.841,0.855,0.904,1.0,0.965,0.791,0.641,0.599,0.684,0.777,0.808,0.743,0.63,0.571,0.443,0.336,0.38,0.495,0.437,0.24,0.113,0.165,0.093,0.022,0.021,0.022,0.015,0.008,0.006,0.002,0.006,0.005,0.003,0.002,M
0.131,0.234,0.306,0.426,0.401,0.179,0.185,0.006,0.193,0.223,0.291,0.226,0.314,0.33,0.366,0.396,0.439,0.467,0.526,0.374,0.224,0.197,0.434,0.653,0.507,0.28,0.416,0.595,0.524,0.418,0.371,0.238,0.086,0.144,0.29,0.458,0.372,0.337,0.38,0.418,0.36,0.271,0.165,0.195,0.281,0.225,0.192,0.15,0.066,0.019,0.016,0.036,0.021,0.015,0.018,0.001,0.011,0.013,0.018,0.023,M
0.073,0.125,0.166,0.15,0.144,0.277,0.256,0.171,0.047,0.111,0.174,0.316,0.325,0.216,0.203,0.258,0.18,0.242,0.361,0.181,0.26,0.657,0.973,0.976,0.808,0.652,0.492,0.536,0.765,0.525,0.51,0.422,0.416,0.191,0.022,0.422,0.55,0.248,0.203,0.273,0.284,0.446,0.318,0.081,0.119,0.213,0.324,0.294,0.147,0.021,0.036,0.044,0.023,0.029,0.014,0.016,0.018,0.019,0.021,0.006,M
0.012,0.074,0.037,0.022,0.008,0.054,0.111,0.107,0.171,0.227,0.317,0.288,0.266,0.231,0.189,0.179,0.23,0.372,0.622,0.726,0.793,0.804,0.807,0.917,0.933,0.956,1.0,0.982,0.868,0.638,0.4,0.324,0.284,0.241,0.232,0.126,0.069,0.07,0.144,0.148,0.044,0.047,0.148,0.174,0.156,0.165,0.118,0.072,0.032,0.006,0.02,0.014,0.01,0.01,0.003,0.003,0.004,0.004,0.006,0.004,M
