@RELATION myRel

@ATTRIBUTE Band1 NUMERIC
@ATTRIBUTE Band2 NUMERIC
@ATTRIBUTE Band3 NUMERIC
@ATTRIBUTE Band4 NUMERIC
@ATTRIBUTE Band5 NUMERIC
@ATTRIBUTE Band6 NUMERIC
@ATTRIBUTE Band7 NUMERIC
@ATTRIBUTE Band8 NUMERIC
@ATTRIBUTE Band9 NUMERIC
@ATTRIBUTE Band10 NUMERIC
@ATTRIBUTE Band11 NUMERIC
@ATTRIBUTE Band12 NUMERIC
@ATTRIBUTE Band13 NUMERIC
@ATTRIBUTE Band14 NUMERIC
@ATTRIBUTE Band15 NUMERIC
@ATTRIBUTE Band16 NUMERIC
@ATTRIBUTE Band17 NUMERIC
@ATTRIBUTE Band18 NUMERIC
@ATTRIBUTE Band19 NUMERIC
@ATTRIBUTE Band20 NUMERIC
@ATTRIBUTE Band21 NUMERIC
@ATTRIBUTE Band22 NUMERIC
@ATTRIBUTE Band23 NUMERIC
@ATTRIBUTE Band24 NUMERIC
@ATTRIBUTE Band25 NUMERIC
@ATTRIBUTE Band26 NUMERIC
@ATTRIBUTE Band27 NUMERIC
@ATTRIBUTE Band28 NUMERIC
@ATTRIBUTE Band29 NUMERIC
@ATTRIBUTE Band30 NUMERIC
@ATTRIBUTE Band31 NUMERIC
@ATTRIBUTE Band32 NUMERIC
@ATTRIBUTE Band33 NUMERIC
@ATTRIBUTE Band34 NUMERIC
@ATTRIBUTE Band35 NUMERIC
@ATTRIBUTE Band36 NUMERIC
@ATTRIBUTE Band37 NUMERIC
@ATTRIBUTE Band38 NUMERIC
@ATTRIBUTE Band39 NUMERIC
@ATTRIBUTE Band40 NUMERIC
@ATTRIBUTE Band41 NUMERIC
@ATTRIBUTE Band42 NUMERIC
@ATTRIBUTE Band43 NUMERIC
@ATTRIBUTE Band44 NUMERIC
@ATTRIBUTE Band45 NUMERIC
@ATTRIBUTE Band46 NUMERIC
@ATTRIBUTE Band47 NUMERIC
@ATTRIBUTE Band48 NUMERIC
@ATTRIBUTE Band49 NUMERIC
@ATTRIBUTE Band50 NUMERIC
@ATTRIBUTE Band51 NUMERIC
@ATTRIBUTE Band52 NUMERIC
@ATTRIBUTE Band53 NUMERIC
@ATTRIBUTE Band54 NUMERIC
@ATTRIBUTE Band55 NUMERIC
@ATTRIBUTE Band56 NUMERIC
@ATTRIBUTE Band57 NUMERIC
@ATTRIBUTE Band58 NUMERIC
@ATTRIBUTE Band59 NUMERIC
@ATTRIBUTE Band60 NUMERIC
@ATTRIBUTE Type {R, M}

@DATA
0.03,0.035,0.049,0.061,0.017,0.135,0.146,0.112,0.194,0.235,0.29,0.281,0.158,0.027,0.067,0.144,0.207,0.264,0.283,0.429,0.568,0.699,0.725,0.762,0.924,1.0,0.998,0.83,0.703,0.714,0.689,0.496,0.258,0.097,0.078,0.036,0.157,0.182,0.135,0.085,0.049,0.137,0.155,0.155,0.132,0.098,0.126,0.095,0.049,0.024,0.004,0.009,0.005,0.013,0.004,0.004,0.003,0.008,0.004,0.005,M
0.009,0.033,0.031,0.038,0.13,0.18,0.191,0.169,0.187,0.172,0.223,0.311,0.414,0.516,0.537,0.511,0.644,0.733,0.816,0.886,0.989,1.0,0.875,0.863,0.907,0.867,0.775,0.66,0.562,0.402,0.233,0.116,0.11,0.043,0.062,0.196,0.212,0.324,0.41,0.294,0.191,0.17,0.101,0.151,0.143,0.11,0.117,0.097,0.07,0.028,0.022,0.015,0.011,0.024,0.016,0.006,0.008,0.006,0.009,0.007,M
0.044,0.045,0.024,0.101,0.225,0.261,0.206,0.167,0.18,0.308,0.379,0.536,0.617,0.784,0.839,0.902,1.0,0.891,0.875,0.789,0.716,0.758,0.637,0.321,0.208,0.228,0.331,0.285,0.195,0.167,0.102,0.136,0.221,0.112,0.168,0.104,0.256,0.262,0.224,0.118,0.11,0.283,0.238,0.026,0.197,0.148,0.043,0.063,0.051,0.047,0.025,0.027,0.02,0.014,0.018,0.006,0.004,0.012,0.015,0.01,M
0.037,0.059,0.063,0.053,0.026,0.142,0.207,0.273,0.307,0.26,0.348,0.4,0.457,0.595,0.792,0.827,0.809,0.898,0.983,0.898,0.889,0.937,0.912,0.794,0.672,0.632,0.486,0.339,0.483,0.382,0.308,0.127,0.074,0.151,0.191,0.182,0.171,0.095,0.283,0.301,0.16,0.148,0.288,0.205,0.106,0.14,0.106,0.053,0.04,0.018,0.035,0.012,0.006,0.024,0.003,0.009,0.012,0.011,0.01,0.013,M
0.049,0.028,0.059,0.127,0.177,0.191,0.222,0.077,0.125,0.203,0.095,0.25,0.221,0.32,0.334,0.332,0.278,0.298,0.295,0.173,0.326,0.383,0.352,0.541,0.523,0.448,0.534,0.532,0.391,0.346,0.409,0.464,0.558,0.573,0.636,0.756,0.69,0.618,0.538,0.562,0.651,0.48,0.374,0.28,0.198,0.244,0.179,0.171,0.076,0.024,0.027,0.008,0.013,0.016,0.006,0.012,0.019,0.014,0.033,0.044,M
0.013,0.014,0.031,0.038,0.077,0.079,0.066,0.111,0.178,0.224,0.243,0.313,0.321,0.292,0.225,0.235,0.214,0.294,0.49,0.613,0.753,0.772,0.743,0.867,0.931,0.984,1.0,0.96,0.872,0.686,0.49,0.328,0.312,0.197,0.102,0.032,0.076,0.091,0.107,0.138,0.066,0.148,0.247,0.279,0.271,0.228,0.182,0.118,0.055,0.022,0.02,0.012,0.009,0.007,0.002,0.003,0.005,0.002,0.002,0.003,M
0.024,0.022,0.017,0.052,0.075,0.112,0.126,0.172,0.307,0.32,0.295,0.248,0.251,0.181,0.141,0.302,0.364,0.389,0.298,0.222,0.162,0.134,0.205,0.379,0.577,0.754,0.841,0.855,0.904,1.0,0.965,0.791,0.641,0.599,0.684,0.777,0.808,0.743,0.63,0.571,0.443,0.336,0.38,0.495,0.437,0.24,0.113,0.165,0.093,0.022,0.021,0.022,0.015,0.008,0.006,0.002,0.006,0.005,0.003,0.002,M
0.043,0.056,0.071,0.062,0.122,0.152,0.154,0.039,0.061,0.011,0.126,0.247,0.301,0.375,0.452,0.539,0.659,0.711,0.76,0.867,0.842,0.797,0.838,0.932,0.856,0.616,0.414,0.327,0.311,0.255,0.337,0.446,0.5,0.511,0.519,0.462,0.423,0.437,0.428,0.443,0.37,0.332,0.256,0.253,0.214,0.179,0.101,0.053,0.045,0.012,0.001,0.014,0.018,0.008,0.006,0.013,0.009,0.008,0.011,0.005,M
0.013,0.02,0.004,0.022,0.023,0.048,0.074,0.033,0.137,0.208,0.23,0.199,0.118,0.189,0.295,0.534,0.685,0.792,0.822,0.729,0.735,0.792,0.806,0.49,0.193,0.292,0.626,0.855,0.897,0.782,0.517,0.484,0.404,0.341,0.285,0.235,0.27,0.444,0.432,0.331,0.12,0.167,0.37,0.307,0.094,0.154,0.139,0.077,0.062,0.023,0.011,0.017,0.009,0.004,0.006,0.006,0.003,0.007,0.003,0.005,M
0.016,0.025,0.026,0.039,0.064,0.047,0.106,0.139,0.06,0.133,0.297,0.475,0.568,0.569,0.642,0.749,0.9,1.0,0.969,0.903,0.768,0.7,0.664,0.596,0.371,0.092,0.048,0.088,0.104,0.171,0.326,0.461,0.394,0.505,0.483,0.351,0.232,0.403,0.368,0.151,0.074,0.14,0.155,0.038,0.064,0.044,0.026,0.022,0.019,0.008,0.014,0.007,0.008,0.023,0.02,0.007,0.004,0.01,0.005,0.002,M
0.03,0.036,0.021,0.023,0.046,0.066,0.094,0.097,0.254,0.313,0.219,0.262,0.242,0.218,0.116,0.124,0.089,0.176,0.176,0.154,0.051,0.18,0.404,0.57,0.658,0.747,0.854,0.908,0.867,0.889,0.906,0.852,0.72,0.62,0.625,0.685,0.734,0.628,0.572,0.612,0.56,0.496,0.503,0.577,0.591,0.48,0.388,0.278,0.143,0.042,0.027,0.02,0.007,0.007,0.009,0.009,0.007,0.004,0.006,0.002,M
0.072,0.085,0.059,0.022,0.086,0.18,0.192,0.19,0.296,0.419,0.487,0.525,0.596,0.686,0.857,0.972,0.869,0.871,0.895,0.992,0.898,0.816,0.837,0.754,0.589,0.549,0.564,0.541,0.478,0.444,0.37,0.257,0.148,0.174,0.123,0.159,0.18,0.144,0.167,0.263,0.223,0.124,0.087,0.209,0.15,0.068,0.09,0.093,0.066,0.009,0.022,0.015,0.012,0.01,0.02,0.004,0.007,0.01,0.008,0.012,M
0.035,0.051,0.008,0.024,0.043,0.074,0.094,0.113,0.123,0.151,0.181,0.239,0.295,0.287,0.401,0.532,0.549,0.582,0.604,0.675,0.708,0.789,0.928,0.978,0.974,1.0,0.97,0.996,0.824,0.602,0.534,0.487,0.353,0.157,0.095,0.161,0.282,0.339,0.302,0.294,0.298,0.268,0.206,0.207,0.162,0.122,0.101,0.074,0.039,0.005,0.015,0.004,0.012,0.011,0.011,0.01,0.005,0.002,0.008,0.003,M
0.016,0.021,0.028,0.06,0.046,0.078,0.136,0.078,0.104,0.157,0.248,0.278,0.29,0.296,0.319,0.189,0.173,0.223,0.243,0.315,0.41,0.381,0.49,0.629,0.752,0.798,0.883,0.992,0.922,0.698,0.617,0.507,0.392,0.352,0.218,0.124,0.159,0.163,0.236,0.248,0.244,0.272,0.118,0.116,0.145,0.188,0.195,0.149,0.051,0.016,0.019,0.015,0.006,0.008,0.009,0.004,0.006,0.006,0.005,0.002,M
0.034,0.062,0.038,0.026,0.044,0.103,0.129,0.185,0.265,0.412,0.524,0.534,0.555,0.392,0.295,0.308,0.302,0.272,0.544,0.793,0.875,0.867,0.711,0.691,0.729,0.879,1.0,0.982,0.898,0.605,0.493,0.537,0.459,0.291,0.077,0.225,0.16,0.396,0.612,0.52,0.232,0.437,0.38,0.432,0.489,0.19,0.094,0.136,0.091,0.014,0.033,0.014,0.002,0.007,0.01,0.004,0.006,0.005,0.003,0.006,M
0.02,0.042,0.055,0.078,0.062,0.087,0.12,0.271,0.121,0.028,0.225,0.262,0.177,0.371,0.453,0.555,0.462,0.38,0.345,0.266,0.24,0.113,0.256,0.517,0.378,0.408,0.535,0.512,0.454,0.426,0.387,0.394,0.466,0.397,0.219,0.182,0.102,0.211,0.325,0.37,0.291,0.301,0.256,0.193,0.206,0.175,0.084,0.104,0.064,0.015,0.008,0.019,0.018,0.016,0.029,0.009,0.024,0.022,0.019,0.01,M
0.065,0.065,0.074,0.113,0.248,0.126,0.18,0.099,0.246,0.342,0.213,0.138,0.403,0.568,0.24,0.433,0.595,0.577,0.818,0.884,0.525,0.637,0.838,0.67,0.776,0.875,0.83,0.69,0.337,0.64,0.714,0.82,0.666,0.525,0.296,0.07,0.097,0.394,0.603,0.352,0.392,0.481,0.46,0.416,0.544,0.565,0.32,0.248,0.13,0.082,0.024,0.021,0.036,0.024,0.045,0.039,0.036,0.044,0.024,0.01,M
0.026,0.036,0.014,0.027,0.021,0.034,0.066,0.14,0.184,0.235,0.272,0.244,0.166,0.034,0.13,0.171,0.218,0.318,0.371,0.455,0.57,0.74,0.806,0.884,0.943,1.0,0.938,0.76,0.712,0.836,0.762,0.457,0.172,0.155,0.164,0.187,0.266,0.171,0.096,0.077,0.085,0.208,0.25,0.186,0.144,0.147,0.099,0.004,0.015,0.012,0.018,0.015,0.013,0.005,0.004,0.006,0.004,0.004,0.006,0.012,M
0.102,0.083,0.058,0.063,0.064,0.133,0.099,0.179,0.12,0.137,0.251,0.263,0.28,0.298,0.382,0.313,0.396,0.209,0.322,0.334,0.318,0.289,0.361,0.257,0.411,0.459,0.472,0.728,0.759,0.658,0.751,0.667,0.49,0.596,0.655,0.401,0.119,0.324,0.311,0.135,0.511,0.799,0.752,0.551,0.586,0.729,0.552,0.334,0.161,0.048,0.1,0.071,0.032,0.031,0.025,0.009,0.018,0.021,0.023,0.011,M
0.02,0.012,0.038,0.013,0.054,0.087,0.102,0.085,0.114,0.175,0.22,0.272,0.21,0.173,0.204,0.179,0.132,0.226,0.236,0.311,0.391,0.363,0.481,0.653,0.781,0.84,0.918,0.977,0.894,0.702,0.65,0.507,0.39,0.301,0.156,0.098,0.22,0.224,0.274,0.215,0.244,0.315,0.211,0.099,0.059,0.194,0.194,0.108,0.034,0.018,0.021,0.013,0.009,0.005,0.004,0.004,0.003,0.004,0.001,0.002,M
0.023,0.039,0.042,0.055,0.099,0.152,0.167,0.151,0.172,0.208,0.124,0.024,0.177,0.312,0.499,0.671,0.766,0.848,0.98,1.0,1.0,0.999,0.907,0.68,0.51,0.472,0.498,0.62,0.717,0.632,0.355,0.29,0.432,0.379,0.242,0.094,0.035,0.084,0.044,0.113,0.204,0.194,0.083,0.15,0.168,0.106,0.111,0.085,0.06,0.02,0.007,0.01,0.006,0.003,0.002,0.006,0.004,0.01,0.008,0.001,M
0.039,0.011,0.027,0.026,0.041,0.049,0.105,0.169,0.21,0.247,0.268,0.305,0.286,0.229,0.116,0.213,0.206,0.222,0.324,0.433,0.507,0.594,0.708,0.764,0.888,0.971,0.988,0.981,0.946,0.854,0.646,0.34,0.383,0.32,0.133,0.044,0.123,0.203,0.165,0.104,0.107,0.211,0.242,0.163,0.077,0.072,0.091,0.081,0.05,0.01,0.009,0.008,0.008,0.003,0.008,0.004,0.007,0.004,0.002,0.001,M
0.021,0.028,0.012,0.044,0.043,0.077,0.146,0.143,0.189,0.185,0.175,0.156,0.148,0.138,0.258,0.383,0.478,0.536,0.619,0.791,0.926,1.0,0.908,0.744,0.556,0.317,0.13,0.06,0.272,0.362,0.329,0.486,0.394,0.184,0.034,0.249,0.384,0.351,0.265,0.176,0.16,0.087,0.059,0.081,0.049,0.042,0.05,0.037,0.012,0.012,0.013,0.01,0.001,0.005,0.004,0.003,0.008,0.005,0.002,0.001,M
0.029,0.04,0.077,0.081,0.052,0.105,0.014,0.067,0.129,0.115,0.094,0.079,0.025,0.119,0.104,0.205,0.156,0.269,0.378,0.402,0.347,0.14,0.121,0.283,0.15,0.263,0.447,0.752,0.904,0.781,0.477,0.248,0.537,0.628,0.365,0.457,0.636,0.647,0.552,0.325,0.229,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.024,0.02,0.005,0.014,0.016,0.008,0.014,0.011,R
0.007,0.01,0.014,0.049,0.025,0.081,0.07,0.074,0.012,0.09,0.029,0.155,0.144,0.104,0.142,0.123,0.089,0.205,0.083,0.152,0.303,0.161,0.067,0.143,0.04,0.165,0.34,0.486,0.521,0.551,0.61,0.599,0.676,0.89,1.0,0.952,0.846,0.707,0.67,0.633,0.51,0.416,0.282,0.17,0.142,0.097,0.088,0.086,0.036,0.023,0.025,0.004,0.005,0.008,0.012,0.01,0.005,0.003,0.007,0.006,R
0.012,0.002,0.02,0.021,0.018,0.049,0.003,0.04,0.079,0.048,0.115,0.052,0.119,0.194,0.184,0.208,0.196,0.163,0.122,0.102,0.135,0.316,0.464,0.591,0.678,0.812,0.859,0.923,0.839,0.724,0.629,0.518,0.463,0.526,0.515,0.393,0.128,0.041,0.086,0.113,0.131,0.176,0.265,0.196,0.066,0.058,0.032,0.03,0.027,0.007,0.015,0.012,0.013,0.003,0.004,0.002,0.011,0.006,0.005,0.007,R
0.01,0.028,0.019,0.037,0.042,0.02,0.031,0.065,0.19,0.267,0.338,0.328,0.243,0.127,0.128,0.444,0.68,0.705,0.797,0.94,0.986,0.819,0.579,0.639,0.704,0.688,0.408,0.181,0.206,0.392,0.379,0.204,0.223,0.334,0.398,0.508,0.553,0.335,0.272,0.228,0.204,0.199,0.084,0.091,0.138,0.195,0.121,0.084,0.059,0.025,0.012,0.009,0.01,0.004,0.009,0.005,0.012,0.002,0.009,0.006,R
0.019,0.037,0.095,0.082,0.025,0.049,0.142,0.197,0.187,0.181,0.214,0.152,0.198,0.484,0.73,0.781,0.791,0.612,0.42,0.281,0.515,0.757,0.86,1.0,0.846,0.68,0.697,0.584,0.477,0.52,0.424,0.159,0.167,0.059,0.397,0.715,0.732,0.351,0.059,0.269,0.42,0.387,0.244,0.2,0.231,0.189,0.196,0.17,0.137,0.04,0.014,0.009,0.003,0.011,0.003,0.006,0.009,0.006,0.007,0.002,R
0.02,0.003,0.014,0.006,0.013,0.015,0.054,0.021,0.05,0.11,0.084,0.094,0.12,0.042,0.003,0.016,0.062,0.213,0.344,0.381,0.382,0.476,0.631,0.752,0.868,0.879,0.79,0.836,0.963,0.962,0.924,0.89,0.971,0.965,0.789,0.531,0.272,0.195,0.137,0.31,0.379,0.41,0.336,0.3,0.275,0.202,0.104,0.045,0.034,0.012,0.007,0.011,0.007,0.006,0.003,0.001,0.001,0.002,0.006,0.004,R
0.022,0.022,0.027,0.014,0.036,0.078,0.091,0.091,0.115,0.097,0.12,0.11,0.119,0.176,0.239,0.214,0.193,0.176,0.075,0.126,0.2,0.157,0.26,0.539,0.844,1.0,0.868,0.674,0.554,0.464,0.361,0.206,0.162,0.209,0.31,0.234,0.106,0.038,0.053,0.129,0.224,0.192,0.159,0.094,0.084,0.067,0.034,0.047,0.036,0.014,0.008,0.014,0.004,0.005,0.007,0.002,0.005,0.002,0.001,0.002,R
0.01,0.048,0.03,0.03,0.065,0.108,0.236,0.238,0.008,0.188,0.146,0.189,0.318,0.134,0.217,0.246,0.259,0.279,0.23,0.066,0.144,0.118,0.167,0.178,0.248,0.257,0.104,0.536,0.712,0.629,0.476,0.602,0.721,0.623,0.572,0.752,0.871,0.925,0.971,0.93,0.9,0.791,0.56,0.284,0.441,0.551,0.433,0.29,0.198,0.078,0.04,0.017,0.015,0.012,0.02,0.014,0.003,0.016,0.011,0.013,R
