@RELATION myRel

@ATTRIBUTE Aa NUMERIC
@ATTRIBUTE Ao NUMERIC
@ATTRIBUTE Dcl NUMERIC
@ATTRIBUTE Iy NUMERIC
@ATTRIBUTE Sh NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
0.274,2.028,0.992,0.406,0.0,0
2.891,-0.298,-0.102,0.079,-0.057,0
0.394,0.949,2.304,1.511,-0.516,0
0.452,2.425,1.323,0.685,0.0,0
0.119,0.639,0.531,0.549,2.261,0
0.987,1.977,-0.433,1.578,-0.482,0
1.144,2.693,-0.415,-0.174,-0.104,0
0.435,3.341,-0.518,-0.294,0.625,0
1.441,0.97,0.396,0.265,-0.164,0
0.236,0.368,0.404,1.22,2.13,0
2.544,0.78,0.363,0.243,0.533,0
0.199,1.424,1.878,-0.653,-0.339,0
0.279,1.735,1.006,0.443,-0.189,0
-0.089,-0.227,-0.488,1.332,1.273,0
0.683,3.51,-0.562,0.319,0.275,0
0.223,1.086,2.658,-0.944,0.0,0
1.636,2.166,1.094,0.594,-0.172,0
0.326,1.658,2.22,-0.567,0.0,0
0.706,2.348,1.569,-0.378,-0.173,0
0.268,2.164,0.991,0.63,0.0,0
0.584,2.874,-0.821,0.521,-0.205,0
0.411,1.587,1.408,0.585,-0.479,0
0.532,1.963,-0.355,0.191,-0.122,0
1.607,2.312,-0.381,0.222,0.163,0
0.607,2.526,1.618,-0.467,-0.205,0
0.257,1.09,1.917,-0.443,-0.233,0
1.021,2.274,-0.52,-0.19,-0.12,0
0.195,1.204,1.497,-0.432,0.0,0
0.441,1.428,2.168,-0.608,0.412,0
2.713,0.666,1.063,-0.273,-0.106,0
0.241,0.522,0.576,-0.368,0.977,0
0.388,2.567,-0.429,-0.26,-0.127,0
2.852,0.393,-0.115,0.11,0.099,0
1.977,1.376,-0.303,0.236,-0.095,0
-0.26,-0.825,-1.641,-1.494,0.0,0
0.277,1.607,1.06,0.436,0.32,0
0.319,2.064,1.245,0.508,-0.266,0
0.962,2.006,-0.386,-0.173,-0.111,0
0.291,1.161,2.308,0.877,-0.369,0
0.551,1.145,2.271,0.668,-0.272,0
0.096,0.526,-1.117,1.757,0.0,0
1.44,2.132,-0.385,0.249,0.209,0
2.559,1.059,1.477,-0.32,-0.123,0
0.762,3.061,-0.456,-0.209,0.159,0
1.183,1.857,-0.264,-0.114,0.095,0
2.648,0.638,-0.146,0.08,-0.035,0
0.203,1.185,1.777,-0.6,0.0,0
2.399,0.797,0.392,-0.116,-0.045,0
0.755,3.309,-0.469,0.254,-0.152,0
1.304,1.219,-0.234,0.12,0.094,0
0.125,0.295,0.459,0.62,-0.96,0
0.666,1.782,-0.37,-0.137,-0.079,0
0.899,1.904,-0.411,0.367,1.19,0
0.293,2.304,1.019,0.505,-0.259,0
1.715,1.682,0.6,1.275,-0.375,0
2.256,0.508,-0.113,-0.066,-0.046,0
2.509,0.294,0.176,0.214,-0.068,0
0.245,1.495,1.543,0.718,-0.4,0
3.164,-0.263,-0.098,0.069,-0.057,0
0.739,1.87,-0.32,-0.148,-0.084,0
3.167,0.529,-0.143,0.172,-0.063,0
1.918,1.214,0.261,0.114,-0.067,0
0.922,2.302,-0.467,0.227,-0.127,0
0.367,2.259,-0.319,-0.148,-0.081,0
0.363,0.774,2.429,1.578,-0.523,0
2.063,1.161,-0.167,0.103,0.107,0
1.311,2.079,-0.433,0.201,-0.252,0
1.048,1.933,-0.333,-0.127,0.118,0
3.639,0.608,-0.138,-0.095,-0.056,0
2.007,0.997,-0.149,0.116,0.062,0
0.42,0.333,0.743,1.17,1.056,0
1.304,2.081,-0.348,-0.199,0.177,0
