@RELATION myRel

@ATTRIBUTE At1 NUMERIC
@ATTRIBUTE At2 NUMERIC
@ATTRIBUTE Class {-1.0, 1.0}

@DATA
-1.58,0.272,-1.0
-1.55,0.386,-1.0
-1.45,0.377,-1.0
-1.62,0.102,-1.0
-1.74,0.367,-1.0
-1.8,0.529,-1.0
-1.74,0.697,-1.0
-1.64,0.572,-1.0
-1.49,0.555,-1.0
-1.54,0.503,-1.0
-1.63,0.524,-1.0
-1.53,0.656,-1.0
-1.55,0.695,-1.0
-1.64,0.767,-1.0
-1.49,0.796,-1.0
-1.43,0.707,-1.0
-1.34,0.595,-1.0
-1.31,0.463,-1.0
-1.16,0.381,-1.0
-1.12,0.576,-1.0
-1.14,0.693,-1.0
-1.2,0.659,-1.0
-1.34,0.824,-1.0
-1.36,0.887,-1.0
-1.31,0.916,-1.0
-1.21,0.918,-1.0
-1.08,0.89,-1.0
-1.08,0.989,-1.0
-1.04,0.984,-1.0
-1.02,0.849,-1.0
-1.18,0.862,-1.0
-1.15,0.771,-1.0
-1.04,0.679,-1.0
-1.04,0.621,-1.0
-0.973,0.712,-1.0
-0.823,0.729,-1.0
-0.872,0.663,-1.0
-0.922,0.533,-1.0
-0.77,0.637,-1.0
-0.674,0.842,-1.0
-0.836,0.959,-1.0
-0.745,0.987,-1.0
-0.685,0.989,-1.0
-0.711,0.96,-1.0
-0.753,1.1,-1.0
-0.721,1.19,-1.0
-0.665,1.23,-1.0
-0.593,1.28,-1.0
-0.625,1.38,-1.0
-0.693,1.28,-1.0
-0.794,1.24,-1.0
-0.859,1.26,-1.0
-0.912,1.34,-1.0
-0.924,1.45,-1.0
-0.834,1.41,-1.0
-0.697,1.35,-1.0
-0.595,1.46,-1.0
-0.643,1.68,-1.0
-0.451,1.7,-1.0
-0.372,1.54,-1.0
-0.337,1.48,-1.0
-0.269,1.6,-1.0
-0.0697,1.56,-1.0
-0.0461,1.65,-1.0
-0.151,1.66,-1.0
-0.265,1.71,-1.0
-0.443,1.86,-1.0
-0.285,1.98,-1.0
0.0935,2.1,-1.0
0.176,1.94,-1.0
0.179,1.81,-1.0
0.168,1.7,-1.0
0.0182,1.68,-1.0
-0.0143,1.55,-1.0
-0.117,1.47,-1.0
0.0526,1.42,-1.0
0.225,1.34,-1.0
0.148,1.26,-1.0
0.268,1.14,-1.0
0.37,1.03,-1.0
0.361,0.931,-1.0
0.44,0.9,-1.0
0.543,0.913,-1.0
0.592,0.973,-1.0
0.678,0.961,-1.0
0.733,0.926,-1.0
0.784,0.972,-1.0
0.813,1.06,-1.0
0.7,1.14,-1.0
0.617,1.11,-1.0
0.547,1.15,-1.0
0.47,1.21,-1.0
0.497,1.27,-1.0
0.518,1.41,-1.0
0.569,1.44,-1.0
0.505,1.45,-1.0
0.496,1.52,-1.0
0.409,1.45,-1.0
0.386,1.55,-1.0
0.393,1.64,-1.0
0.409,1.76,-1.0
0.504,1.78,-1.0
0.45,1.6,-1.0
0.672,1.57,-1.0
0.851,1.46,-1.0
0.832,1.33,-1.0
0.725,1.33,-1.0
0.648,1.41,-1.0
0.656,1.25,-1.0
0.686,1.2,-1.0
0.552,1.04,-1.0
0.486,1.05,-1.0
0.477,0.791,-1.0
0.589,0.714,-1.0
0.577,0.628,-1.0
0.357,0.647,-1.0
0.463,0.498,-1.0
0.595,0.429,-1.0
0.678,0.335,-1.0
0.803,0.349,-1.0
0.805,0.42,-1.0
0.732,0.493,-1.0
0.751,0.608,-1.0
0.866,0.612,-1.0
0.917,0.525,-1.0
1.02,0.508,-1.0
1.05,0.453,-1.0
1.07,0.457,-1.0
1.17,0.511,-1.0
1.25,0.555,-1.0
1.18,0.614,-1.0
1.14,0.647,-1.0
1.27,0.589,-1.0
1.29,0.677,-1.0
1.26,0.799,-1.0
1.22,0.834,-1.0
1.09,0.812,-1.0
1.04,0.779,-1.0
0.999,0.811,-1.0
1.02,0.858,-1.0
1.02,0.729,-1.0
1.07,0.646,-1.0
1.1,0.604,-1.0
1.03,0.548,-1.0
0.952,0.616,-1.0
0.953,0.719,-1.0
0.91,0.665,-1.0
0.973,0.457,-1.0
0.994,0.348,-1.0
0.897,0.294,-1.0
0.942,0.248,-1.0
1.04,0.285,-1.0
1.13,0.33,-1.0
1.2,0.298,-1.0
1.24,0.31,-1.0
1.36,0.258,-1.0
1.45,0.273,-1.0
1.39,0.155,-1.0
1.31,0.151,-1.0
1.3,0.186,-1.0
1.37,0.219,-1.0
1.22,0.217,-1.0
1.11,0.205,-1.0
1.08,0.088,-1.0
0.985,0.114,-1.0
0.907,0.191,-1.0
1.15,0.243,-1.0
1.2,0.0691,-1.0
1.24,0.00235,-1.0
1.13,-0.0116,-1.0
1.26,0.0903,-1.0
1.33,-0.0673,-1.0
1.27,-0.159,-1.0
1.22,-0.106,-1.0
1.27,-0.194,-1.0
1.31,-0.238,-1.0
1.35,-0.177,-1.0
1.47,-0.0578,-1.0
1.39,0.0609,-1.0
1.5,0.0442,-1.0
1.64,0.0477,-1.0
1.74,0.195,-1.0
1.98,0.417,-1.0
1.63,0.475,-1.0
1.43,0.498,-1.0
1.4,0.43,-1.0
1.49,0.385,-1.0
1.52,0.315,-1.0
1.66,0.239,-1.0
1.75,0.016,-1.0
1.71,-0.044,-1.0
1.5,-0.0608,-1.0
1.59,-0.111,-1.0
1.56,-0.177,-1.0
1.54,-0.26,-1.0
1.59,-0.378,-1.0
1.58,-0.468,-1.0
1.64,-0.605,-1.0
1.72,-0.448,-1.0
1.85,-0.558,-1.0
1.97,-0.772,-1.0
1.69,-0.724,-1.0
1.45,-0.507,-1.0
1.36,-0.412,-1.0
1.27,-0.519,-1.0
1.25,-0.35,-1.0
1.18,-0.277,-1.0
1.14,-0.114,-1.0
1.07,-0.0433,-1.0
0.955,-0.0158,-1.0
0.88,-0.241,-1.0
0.529,0.133,-1.0
0.844,0.243,-1.0
1.08,0.378,-1.0
1.12,0.422,-1.0
1.18,0.424,-1.0
1.23,0.354,-1.0
1.34,0.32,-1.0
1.24,0.441,-1.0
1.29,0.488,-1.0
1.37,0.625,-1.0
1.38,0.749,-1.0
1.36,0.86,-1.0
1.18,0.913,-1.0
1.08,0.925,-1.0
1.02,0.976,-1.0
1.08,1.03,-1.0
1.19,0.997,-1.0
1.09,1.21,-1.0
0.915,1.15,-1.0
0.835,1.24,-1.0
0.933,1.21,-1.0
1.22,1.35,-1.0
1.03,1.61,-1.0
0.736,1.64,-1.0
0.619,1.65,-1.0
0.782,1.8,-1.0
0.672,2.03,-1.0
0.427,1.99,-1.0
0.301,2.01,-1.0
0.497,2.23,-1.0
0.912,2.1,-1.0
0.462,1.89,-1.0
0.311,1.76,-1.0
0.304,1.61,-1.0
0.296,1.51,-1.0
0.244,1.42,-1.0
0.375,1.24,-1.0
0.44,1.16,-1.0
0.188,0.914,-1.0
-0.0685,0.931,-1.0
-0.276,1.05,-1.0
-0.449,1.04,-1.0
-0.56,1.06,-1.0
-0.652,1.14,-1.0
-0.536,1.19,-1.0
-0.49,1.25,-1.0
-0.413,1.17,-1.0
-0.481,1.09,-1.0
-0.534,1.15,-1.0
-0.495,1.31,-1.0
-0.496,1.41,-1.0
-0.456,1.55,-1.0
-0.381,1.41,-1.0
-0.399,1.3,-1.0
-0.267,1.37,-1.0
-0.177,1.51,-1.0
-0.155,1.29,-1.0
0.0128,1.29,-1.0
-0.0845,1.15,-1.0
-0.305,1.18,-1.0
-0.599,1.25,-1.0
-0.634,1.08,-1.0
-0.824,1.1,-1.0
-0.891,1.0,-1.0
-0.949,1.0,-1.0
-0.974,1.05,-1.0
-0.914,1.07,-1.0
-1.07,1.16,-1.0
-0.999,1.2,-1.0
-1.08,1.31,-1.0
-1.02,1.53,-1.0
-0.784,1.81,-1.0
-0.704,1.46,-1.0
-0.994,1.14,-1.0
-1.16,1.03,-1.0
-1.25,0.985,-1.0
-1.37,0.928,-1.0
-1.57,0.942,-1.0
-1.67,0.809,-1.0
-1.68,0.93,-1.0
-1.62,1.02,-1.0
-1.41,1.11,-1.0
-1.32,1.12,-1.0
-1.18,1.17,-1.0
-1.35,1.32,-1.0
-1.53,1.21,-1.0
-0.876,0.92,-1.0
-0.958,0.812,-1.0
-0.527,0.887,-1.0
-0.542,0.918,-1.0
-0.587,1.01,-1.0
0.308,0.933,-1.0
0.568,0.244,-1.0
0.822,0.501,-1.0
0.83,0.692,-1.0
0.816,0.762,-1.0
0.719,0.759,-1.0
0.739,0.673,-1.0
0.863,0.765,-1.0
0.888,0.817,-1.0
0.786,0.859,-1.0
0.857,0.875,-1.0
0.922,0.93,-1.0
0.948,0.985,-1.0
0.952,0.836,-1.0
0.855,0.959,-1.0
0.724,0.989,-1.0
0.657,1.05,-1.0
0.659,0.913,-1.0
0.55,0.857,-1.0
0.745,0.877,-1.0
0.636,0.756,-1.0
0.711,0.787,-1.0
0.604,0.555,-1.0
1.22,0.423,-1.0
1.49,0.627,-1.0
1.41,0.9,-1.0
1.22,1.13,-1.0
1.19,0.697,-1.0
1.1,0.74,-1.0
1.26,0.144,-1.0
1.06,-0.232,-1.0
1.37,-0.643,-1.0
1.49,-0.886,-1.0
1.75,-1.03,-1.0
2.06,-0.893,-1.0
2.03,-0.427,-1.0
1.89,-0.243,-1.0
1.72,-0.259,-1.0
1.63,-0.251,-1.0
1.98,-0.0252,-1.0
2.05,-0.105,-1.0
2.34,-1.25,-1.0
0.675,-1.53,-1.0
0.409,-1.51,-1.0
0.4,-1.39,-1.0
0.294,-1.5,-1.0
0.282,-1.43,-1.0
0.341,-1.32,-1.0
0.463,-1.28,-1.0
0.425,-1.21,-1.0
0.371,-1.23,-1.0
0.247,-1.28,-1.0
0.195,-1.27,-1.0
0.191,-1.29,-1.0
0.0762,-1.27,-1.0
0.066,-1.23,-1.0
0.123,-1.24,-1.0
0.208,-1.21,-1.0
0.164,-1.18,-1.0
0.163,-1.08,-1.0
0.226,-1.02,-1.0
0.313,-1.07,-1.0
0.275,-0.987,-1.0
0.134,-0.922,-1.0
0.175,-0.887,-1.0
0.298,-0.878,-1.0
0.404,-0.868,-1.0
0.385,-0.744,-1.0
0.213,-0.752,-1.0
0.139,-0.762,-1.0
0.0345,-0.691,-1.0
-0.0247,-0.765,-1.0
-0.119,-0.842,-1.0
-0.231,-0.75,-1.0
-0.43,-0.722,-1.0
-0.544,-0.773,-1.0
-0.562,-0.873,-1.0
-0.631,-0.914,-1.0
-0.62,-0.984,-1.0
-0.555,-1.02,-1.0
-0.463,-1.01,-1.0
-0.436,-0.954,-1.0
-0.48,-0.913,-1.0
-0.509,-0.824,-1.0
-0.437,-0.789,-1.0
-0.357,-0.944,-1.0
-0.351,-1.0,-1.0
-0.381,-0.959,-1.0
-0.3,-1.04,-1.0
-0.278,-1.09,-1.0
-0.226,-1.06,-1.0
-0.2,-1.02,-1.0
-0.124,-0.95,-1.0
-0.175,-0.909,-1.0
-0.291,-0.858,-1.0
-0.338,-0.91,-1.0
-0.155,-1.03,-1.0
-0.0957,-1.06,-1.0
-0.076,-1.12,-1.0
-0.128,-1.14,-1.0
-0.134,-1.1,-1.0
-0.171,-1.09,-1.0
-0.153,-1.15,-1.0
-0.162,-1.24,-1.0
-0.254,-1.27,-1.0
-0.298,-1.26,-1.0
-0.338,-1.33,-1.0
-0.343,-1.39,-1.0
-0.4,-1.37,-1.0
-0.44,-1.3,-1.0
-0.38,-1.27,-1.0
-0.452,-1.22,-1.0
-0.514,-1.21,-1.0
-0.552,-1.18,-1.0
-0.567,-1.14,-1.0
-0.583,-1.05,-1.0
-0.654,-0.999,-1.0
-0.652,-1.1,-1.0
-0.765,-1.13,-1.0
-0.753,-1.08,-1.0
-0.768,-1.04,-1.0
-0.835,-1.04,-1.0
-0.865,-1.1,-1.0
-0.948,-0.982,-1.0
-0.911,-0.908,-1.0
-0.847,-0.871,-1.0
-0.861,-0.972,-1.0
-0.917,-1.08,-1.0
-0.954,-1.19,-1.0
-0.838,-1.17,-1.0
-0.803,-1.09,-1.0
-0.833,-1.23,-1.0
-0.798,-1.21,-1.0
-0.716,-1.19,-1.0
-0.724,-1.26,-1.0
-0.69,-1.33,-1.0
-0.598,-1.35,-1.0
-0.566,-1.33,-1.0
-0.488,-1.31,-1.0
-0.659,-1.27,-1.0
-0.744,-1.39,-1.0
-0.655,-1.44,-1.0
-0.568,-1.36,-1.0
-0.501,-1.43,-1.0
-0.491,-1.55,-1.0
-0.486,-1.62,-1.0
-0.593,-1.58,-1.0
-0.769,-1.46,-1.0
-0.821,-1.44,-1.0
-1.02,-1.43,-1.0
