@RELATION myRel

@ATTRIBUTE At1 NUMERIC
@ATTRIBUTE At2 NUMERIC
@ATTRIBUTE Class {-1.0, 1.0}

@DATA
-0.606,3.19,-1.0
2.25,-1.4,-1.0
-2.56,-0.0784,-1.0
2.14,-0.453,-1.0
-2.13,0.678,-1.0
-1.01,-1.65,-1.0
0.254,2.42,-1.0
-0.956,-1.61,-1.0
0.739,2.14,-1.0
-0.796,-1.63,-1.0
-0.306,2.28,-1.0
2.01,-0.695,-1.0
-1.98,0.875,-1.0
2.03,-0.427,-1.0
-1.9,0.856,-1.0
1.79,-0.834,-1.0
-1.99,0.549,-1.0
1.82,-0.643,-1.0
-2.06,-0.332,-1.0
1.88,-0.368,-1.0
-2.0,-0.0624,-1.0
1.72,-0.793,-1.0
-1.93,0.603,-1.0
1.87,-0.239,-1.0
-0.936,1.81,-1.0
-0.934,-1.58,-1.0
0.125,2.16,-1.0
-1.01,-1.53,-1.0
0.552,2.05,-1.0
-0.248,-1.69,-1.0
0.471,2.03,-1.0
-1.01,-1.47,-1.0
-0.218,2.09,-1.0
-0.0958,-1.66,-1.0
0.82,1.83,-1.0
-1.02,-1.43,-1.0
-0.424,2.01,-1.0
-0.593,-1.58,-1.0
0.405,1.93,-1.0
-0.652,-1.54,-1.0
0.462,1.89,-1.0
-1.25,-1.28,-1.0
-0.434,1.98,-1.0
-0.491,-1.55,-1.0
-0.784,1.81,-1.0
0.417,-1.54,-1.0
0.26,1.91,-1.0
-1.01,-1.36,-1.0
0.155,1.88,-1.0
-0.0656,-1.57,-1.0
0.632,1.74,-1.0
-0.929,-1.39,-1.0
0.685,1.69,-1.0
-0.446,-1.53,-1.0
-0.123,1.86,-1.0
-0.435,-1.53,-1.0
-0.624,1.75,-1.0
0.02,-1.54,-1.0
0.661,1.69,-1.0
-0.663,-1.47,-1.0
0.423,1.74,-1.0
-0.204,-1.54,-1.0
0.379,1.74,-1.0
-0.951,-1.33,-1.0
1.9,-0.0565,-1.0
-1.83,0.601,-1.0
1.7,-0.554,-1.0
-1.68,0.93,-1.0
1.7,-0.489,-1.0
-1.82,0.474,-1.0
1.81,-0.0547,-1.0
-1.74,0.693,-1.0
1.55,-0.649,-1.0
-1.77,0.457,-1.0
1.74,0.577,-1.0
-1.67,0.809,-1.0
1.66,-0.384,-1.0
-1.35,1.32,-1.0
1.77,0.013,-1.0
-1.67,0.672,-1.0
1.75,0.016,-1.0
-1.64,0.572,-1.0
1.61,-0.387,-1.0
-1.2,1.43,-1.0
0.238,-1.51,-1.0
-0.214,1.76,-1.0
-0.655,-1.44,-1.0
0.975,1.48,-1.0
-0.836,-1.36,-1.0
0.238,1.74,-1.0
0.136,-1.49,-1.0
-1.02,1.53,-1.0
0.132,-1.49,-1.0
-0.0677,1.74,-1.0
-0.677,-1.41,-1.0
1.21,1.28,-1.0
-1.04,-1.24,-1.0
0.191,1.72,-1.0
-0.0571,-1.5,-1.0
-0.625,1.65,-1.0
0.341,-1.43,-1.0
0.168,1.7,-1.0
-0.72,-1.39,-1.0
0.948,1.41,-1.0
-0.855,-1.33,-1.0
0.682,1.5,-1.0
-0.269,-1.47,-1.0
-0.144,1.68,-1.0
-0.337,-1.45,-1.0
0.372,1.6,-1.0
-1.01,-1.23,-1.0
1.66,0.672,-1.0
-1.2,-1.02,-1.0
0.662,1.49,-1.0
-0.534,-1.4,-1.0
0.353,1.58,-1.0
0.0114,-1.46,-1.0
-0.617,1.61,-1.0
0.512,-1.34,-1.0
-0.151,1.66,-1.0
-0.598,-1.38,-1.0
0.514,1.52,-1.0
-1.19,-1.03,-1.0
0.77,1.4,-1.0
-0.86,-1.27,-1.0
-0.0605,1.65,-1.0
0.198,-1.41,-1.0
-0.0819,1.64,-1.0
-0.527,-1.38,-1.0
0.513,1.5,-1.0
-1.13,-1.06,-1.0
1.72,0.0291,-1.0
-1.52,0.946,-1.0
1.7,-0.0336,-1.0
-1.52,0.934,-1.0
1.34,-0.689,-1.0
-1.48,0.944,-1.0
1.68,0.113,-1.0
-1.47,0.96,-1.0
1.5,-0.38,-1.0
-1.57,0.629,-1.0
1.27,-0.747,-1.0
-0.918,1.44,-1.0
0.16,-1.4,-1.0
0.0284,1.62,-1.0
-0.0567,-1.41,-1.0
-0.621,1.52,-1.0
0.572,-1.24,-1.0
-0.456,1.55,-1.0
0.0951,-1.39,-1.0
-0.129,1.57,-1.0
-0.767,-1.3,-1.0
0.976,1.24,-1.0
-0.678,-1.32,-1.0
