@RELATION myRel

@ATTRIBUTE Pulse1 NUMERIC
@ATTRIBUTE Pulse3 NUMERIC
@ATTRIBUTE Pulse4 NUMERIC
@ATTRIBUTE Pulse5 NUMERIC
@ATTRIBUTE Pulse6 NUMERIC
@ATTRIBUTE Pulse7 NUMERIC
@ATTRIBUTE Pulse8 NUMERIC
@ATTRIBUTE Pulse9 NUMERIC
@ATTRIBUTE Pulse10 NUMERIC
@ATTRIBUTE Pulse11 NUMERIC
@ATTRIBUTE Pulse12 NUMERIC
@ATTRIBUTE Pulse13 NUMERIC
@ATTRIBUTE Pulse14 NUMERIC
@ATTRIBUTE Pulse15 NUMERIC
@ATTRIBUTE Pulse16 NUMERIC
@ATTRIBUTE Pulse17 NUMERIC
@ATTRIBUTE Pulse18 NUMERIC
@ATTRIBUTE Pulse19 NUMERIC
@ATTRIBUTE Pulse20 NUMERIC
@ATTRIBUTE Pulse21 NUMERIC
@ATTRIBUTE Pulse22 NUMERIC
@ATTRIBUTE Pulse23 NUMERIC
@ATTRIBUTE Pulse24 NUMERIC
@ATTRIBUTE Pulse25 NUMERIC
@ATTRIBUTE Pulse26 NUMERIC
@ATTRIBUTE Pulse27 NUMERIC
@ATTRIBUTE Pulse28 NUMERIC
@ATTRIBUTE Pulse29 NUMERIC
@ATTRIBUTE Pulse30 NUMERIC
@ATTRIBUTE Pulse31 NUMERIC
@ATTRIBUTE Pulse32 NUMERIC
@ATTRIBUTE Pulse33 NUMERIC
@ATTRIBUTE Pulse34 NUMERIC
@ATTRIBUTE Class {g, b}

@DATA
1.0,-0.267,0.4,-0.273,0.122,-0.178,-0.044,0.062,-0.069,0.045,0.026,-0.009,0.027,-0.016,-0.002,-0.001,-0.009,0.005,-0.002,0.001,0.002,-0.001,0.001,-0.001,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,b
0.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,b
0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,b
1.0,0.083,-0.207,-1.0,1.0,-1.0,1.0,0.719,0.472,-0.821,-0.627,-1.0,-1.0,-1.0,1.0,-0.028,0.592,-0.421,-0.421,-0.746,-1.0,-1.0,-0.468,-1.0,0.238,1.0,-1.0,-1.0,-0.389,-1.0,-1.0,-1.0,0.615,b
1.0,0.738,0.833,-0.762,-0.238,0.333,-0.143,0.452,-0.143,-0.673,0.128,0.333,0.0,0.286,-0.071,-0.382,0.512,0.238,0.024,0.452,0.048,0.167,-0.262,-0.573,-0.102,0.249,-0.511,1.0,0.0,-0.667,-0.048,0.262,0.024,b
1.0,0.101,0.108,0.0,0.0,0.0,0.0,0.547,0.824,0.311,1.0,0.0,0.0,0.0,0.0,0.372,-1.0,0.331,-1.0,0.0,0.0,0.0,0.0,-0.426,-1.0,1.0,-1.0,0.554,-0.236,0.0,0.0,0.0,0.0,b
1.0,1.0,-0.095,-1.0,-1.0,-1.0,-1.0,1.0,0.317,0.813,0.762,-1.0,-1.0,-1.0,1.0,0.474,1.0,1.0,1.0,0.688,-1.0,-1.0,-1.0,0.829,0.365,1.0,1.0,1.0,0.508,-1.0,-0.325,-1.0,0.728,b
0.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,-1.0,-0.188,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,b
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.375,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,b
1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.85,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.6,-1.0,1.0,1.0,-1.0,-0.2,1.0,-1.0,0.0,1.0,0.0,0.0,b
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.625,1.0,-0.75,-0.75,1.0,1.0,1.0,b
0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,b
0.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,b
0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,0.0,b
1.0,1.0,-1.0,0.0,0.0,0.779,-0.993,0.809,0.551,-0.419,-0.949,0.0,0.0,0.0,0.0,0.721,-0.772,0.735,-0.603,0.0,0.0,0.184,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,b
0.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,b
1.0,-1.0,-1.0,1.0,1.0,1.0,-0.144,0.0,0.0,-1.0,1.0,1.0,1.0,0.179,-1.0,-1.0,-1.0,0.088,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,b
1.0,1.0,-0.867,1.0,0.223,0.855,-0.399,1.0,-0.121,1.0,0.351,1.0,0.078,1.0,-0.148,1.0,-1.0,1.0,-1.0,0.618,0.158,1.0,0.623,1.0,-0.17,1.0,0.359,1.0,-0.665,1.0,0.884,1.0,-0.188,b
1.0,1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,b
0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,b
1.0,1.0,1.0,-1.0,1.0,-1.0,-0.825,0.346,0.211,0.461,0.07,0.228,0.057,0.351,0.346,0.728,-0.039,0.228,0.531,0.0,0.0,-0.298,-0.162,1.0,-0.667,1.0,-1.0,1.0,-0.246,0.351,0.202,0.829,0.079,b
1.0,-0.679,-1.0,-1.0,1.0,1.0,0.633,0.035,-1.0,-1.0,-1.0,1.0,1.0,0.887,-1.0,-1.0,1.0,0.838,1.0,1.0,-1.0,-1.0,-1.0,-0.189,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.336,b
0.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.75,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,b
0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,b
0.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,b
0.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,b
1.0,0.683,0.054,0.848,0.002,0.843,0.003,0.843,0.099,0.758,0.041,0.819,0.006,0.807,0.007,0.806,-0.124,0.779,-0.035,0.764,0.009,0.746,0.01,0.796,-0.042,0.708,0.011,0.622,0.116,0.666,0.012,0.644,0.012,g
1.0,1.0,-0.062,1.0,0.029,1.0,-0.051,1.0,-0.017,1.0,-0.117,0.845,-0.052,0.934,-0.066,0.692,-0.074,0.657,-0.204,0.949,-0.316,0.809,-0.317,0.849,-0.348,0.725,-0.292,0.731,-0.386,0.544,-0.263,0.642,-0.395,g
1.0,0.881,0.352,0.684,0.651,0.348,0.798,0.058,0.908,-0.298,0.865,-0.626,0.696,-0.771,0.393,-0.858,0.084,-0.816,-0.24,-0.646,-0.5,-0.398,-0.683,-0.111,-0.755,0.17,-0.715,0.407,-0.576,0.566,-0.368,0.628,-0.133,g
1.0,0.924,0.369,0.72,0.684,0.293,0.941,-0.111,0.765,-0.316,0.925,-0.666,0.788,-0.921,0.423,-0.943,0.096,-1.0,0.032,-0.664,-0.663,-0.46,-0.782,-0.135,-0.881,0.198,-0.851,0.489,-0.702,0.699,-0.46,0.761,-0.132,g
1.0,0.956,-0.002,0.864,-0.132,0.95,-0.005,0.828,-0.512,0.924,0.104,1.0,-0.142,0.993,-0.025,0.959,-0.155,0.84,0.617,1.0,-0.163,0.875,-0.085,0.857,-0.017,0.841,-0.018,0.824,-0.019,0.806,-0.02,0.788,-0.02,g
1.0,0.995,-0.059,0.852,0.023,0.834,-0.377,1.0,0.038,0.852,-0.178,0.598,-0.449,0.605,-0.382,0.844,-0.385,0.582,-0.322,0.57,-0.297,0.369,-0.474,0.568,-0.512,0.411,-0.462,0.213,-0.341,0.423,-0.545,0.186,-0.453,g
