@RELATION myRel

@ATTRIBUTE At1 NUMERIC
@ATTRIBUTE At2 NUMERIC
@ATTRIBUTE Class {-1.0, 1.0}

@DATA
0.794,0.762,-1.0
1.34,0.32,-1.0
0.0692,-0.828,-1.0
-0.658,-1.31,-1.0
1.27,0.0842,-1.0
0.713,0.948,-1.0
-0.135,-1.1,-1.0
0.403,-0.997,-1.0
-0.389,-1.32,-1.0
0.685,0.546,-1.0
-0.391,1.1,-1.0
-0.668,-1.13,-1.0
1.45,-0.188,-1.0
1.29,0.525,-1.0
0.216,-1.12,-1.0
0.144,1.56,-1.0
-0.266,-1.2,-1.0
0.303,-1.35,-1.0
1.25,0.555,-1.0
-0.0723,-1.08,-1.0
1.35,-0.518,-1.0
0.468,0.986,-1.0
-1.28,0.559,-1.0
1.12,-0.422,-1.0
-0.751,-1.37,-1.0
-0.224,-1.02,-1.0
0.0337,-1.13,-1.0
1.08,0.0163,-1.0
-1.4,0.98,-1.0
1.5,-0.0608,-1.0
-0.908,1.26,-1.0
1.04,0.285,-1.0
-0.0611,-1.4,-1.0
0.832,1.33,-1.0
-1.77,1.01,-1.0
-0.567,-1.14,-1.0
-0.0406,2.09,-1.0
-1.01,0.768,-1.0
1.25,0.794,-1.0
-0.544,-0.773,-1.0
-0.614,-1.22,-1.0
-0.59,-1.04,-1.0
0.0386,-1.26,-1.0
0.994,0.348,-1.0
-0.534,-1.23,-1.0
-0.153,-1.22,-1.0
1.05,0.409,-1.0
1.6,-0.183,-1.0
-0.481,-0.904,-1.0
1.21,0.227,-1.0
1.34,-0.689,-1.0
-0.162,1.84,-1.0
0.313,-1.07,-1.0
1.81,-0.218,-1.0
1.11,-0.106,-1.0
-1.74,0.697,-1.0
1.94,-0.65,-1.0
0.273,1.79,-1.0
-0.779,-1.14,-1.0
-0.265,1.28,-1.0
-1.8,0.529,-1.0
-1.02,-1.01,-1.0
1.42,0.374,-1.0
0.217,-0.961,-1.0
-0.647,1.08,-1.0
-0.0693,-1.3,-1.0
1.97,0.041,-1.0
-1.22,1.12,-1.0
