@RELATION myRel

@ATTRIBUTE StatusAccount {A11, A12, A14, A13}
@ATTRIBUTE DurationMonth NUMERIC
@ATTRIBUTE CreditHistory {A34, A32, A33, A30, A31}
@ATTRIBUTE Purpose {A43, A46, A42, A40, A41, A49, A44, A45, A410, A48}
@ATTRIBUTE CreditAmount NUMERIC
@ATTRIBUTE SavingsAccount {A65, A61, A63, A64, A62}
@ATTRIBUTE EmploymentSince {A75, A73, A74, A71, A72}
@ATTRIBUTE InstallmentRate NUMERIC
@ATTRIBUTE StatusAndSex {A93, A92, A91, A94}
@ATTRIBUTE Guarantors {A101, A103, A102}
@ATTRIBUTE ResidenceSince NUMERIC
@ATTRIBUTE Property {A121, A122, A124, A123}
@ATTRIBUTE Age NUMERIC
@ATTRIBUTE InstallmentPlans {A143, A141, A142}
@ATTRIBUTE Housing {A152, A153, A151}
@ATTRIBUTE NCredits NUMERIC
@ATTRIBUTE Job {A173, A172, A174, A171}
@ATTRIBUTE NPeopleMain NUMERIC
@ATTRIBUTE Telephone {A192, A191}
@ATTRIBUTE ForeignWorker {A201, A202}
@ATTRIBUTE Customer {1, 2}

@DATA
A13,12.0,A32,A42,2251.0,A61,A73,1.0,A92,A101,2.0,A123,46.0,A143,A152,1.0,A172,1.0,A191,A201,1
A11,24.0,A31,A41,3632.0,A61,A73,1.0,A92,A103,4.0,A123,22.0,A141,A151,1.0,A173,1.0,A191,A202,1
A12,48.0,A30,A49,12204.0,A65,A73,2.0,A93,A101,2.0,A123,48.0,A141,A152,1.0,A174,1.0,A192,A201,1
A11,10.0,A34,A40,2241.0,A61,A72,1.0,A93,A101,3.0,A121,48.0,A143,A151,2.0,A172,2.0,A191,A202,1
A12,18.0,A30,A42,3244.0,A61,A73,1.0,A92,A101,4.0,A123,33.0,A141,A152,2.0,A173,1.0,A192,A201,1
A12,12.0,A34,A40,3124.0,A61,A72,1.0,A93,A101,3.0,A121,49.0,A141,A152,2.0,A172,2.0,A191,A201,1
A14,24.0,A32,A40,3757.0,A61,A75,4.0,A92,A102,4.0,A124,62.0,A143,A153,1.0,A173,1.0,A192,A201,1
A12,12.0,A34,A43,3573.0,A61,A73,1.0,A92,A101,1.0,A121,23.0,A143,A152,1.0,A172,1.0,A191,A201,1
A14,48.0,A34,A41,8858.0,A65,A74,2.0,A93,A101,1.0,A124,35.0,A143,A153,2.0,A173,1.0,A192,A201,1
A12,18.0,A34,A42,7374.0,A61,A71,4.0,A93,A101,4.0,A122,40.0,A142,A152,2.0,A174,1.0,A192,A201,1
A11,12.0,A32,A40,3651.0,A64,A73,1.0,A93,A101,3.0,A122,31.0,A143,A152,1.0,A173,2.0,A191,A201,1
A11,24.0,A32,A41,2924.0,A61,A73,3.0,A93,A103,4.0,A124,63.0,A141,A152,1.0,A173,2.0,A192,A201,1
A13,6.0,A32,A40,709.0,A64,A72,2.0,A94,A101,2.0,A121,27.0,A143,A152,1.0,A171,1.0,A191,A202,1
A11,36.0,A32,A40,3249.0,A61,A74,2.0,A93,A101,4.0,A124,39.0,A141,A153,1.0,A174,2.0,A192,A201,1
A14,6.0,A34,A43,1237.0,A62,A73,1.0,A92,A101,1.0,A122,27.0,A143,A152,2.0,A173,1.0,A191,A201,1
A12,27.0,A32,A49,2528.0,A61,A72,4.0,A92,A101,1.0,A122,32.0,A143,A152,1.0,A173,2.0,A192,A201,1
A14,12.0,A34,A42,1258.0,A61,A72,2.0,A92,A101,4.0,A122,22.0,A143,A151,2.0,A172,1.0,A191,A201,1
A14,24.0,A34,A46,1597.0,A61,A75,4.0,A93,A101,4.0,A124,54.0,A143,A153,2.0,A173,2.0,A191,A201,1
A14,9.0,A32,A44,1236.0,A61,A72,1.0,A92,A101,4.0,A121,23.0,A143,A151,1.0,A173,1.0,A192,A201,1
A12,6.0,A33,A49,1449.0,A62,A75,1.0,A91,A101,2.0,A123,31.0,A141,A152,2.0,A173,2.0,A191,A201,1
A14,18.0,A34,A43,629.0,A63,A75,4.0,A93,A101,3.0,A122,32.0,A141,A152,2.0,A174,1.0,A192,A201,1
A12,20.0,A32,A41,6468.0,A65,A71,1.0,A91,A101,4.0,A121,60.0,A143,A152,1.0,A174,1.0,A192,A201,1
A11,18.0,A32,A43,2389.0,A61,A72,4.0,A92,A101,1.0,A123,27.0,A142,A152,1.0,A173,1.0,A191,A201,1
A11,30.0,A34,A41,6187.0,A62,A74,1.0,A94,A101,4.0,A123,24.0,A143,A151,2.0,A173,1.0,A191,A201,1
A11,42.0,A34,A45,3394.0,A61,A71,4.0,A93,A102,4.0,A123,65.0,A143,A152,2.0,A171,1.0,A191,A201,1
A14,12.0,A32,A46,1393.0,A61,A75,4.0,A93,A101,4.0,A122,47.0,A141,A152,3.0,A173,2.0,A192,A201,1
A11,12.0,A32,A42,3590.0,A61,A73,2.0,A93,A102,2.0,A122,29.0,A143,A152,1.0,A172,2.0,A191,A201,1
A14,42.0,A32,A43,7166.0,A65,A74,2.0,A94,A101,4.0,A122,29.0,A143,A151,1.0,A173,1.0,A192,A201,1
A14,6.0,A34,A43,1898.0,A65,A73,1.0,A93,A101,2.0,A121,34.0,A143,A152,2.0,A172,2.0,A191,A201,1
A11,12.0,A34,A43,385.0,A61,A74,4.0,A92,A101,3.0,A121,58.0,A143,A152,4.0,A172,1.0,A192,A201,1
A12,11.0,A32,A42,1577.0,A64,A72,4.0,A92,A101,1.0,A121,20.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,6.0,A32,A43,2063.0,A61,A72,4.0,A94,A101,3.0,A123,30.0,A143,A151,1.0,A174,1.0,A192,A201,1
A14,60.0,A32,A43,10144.0,A62,A74,2.0,A92,A101,4.0,A121,21.0,A143,A152,1.0,A173,1.0,A192,A201,1
A11,30.0,A30,A42,4583.0,A61,A73,2.0,A91,A103,2.0,A121,32.0,A143,A152,2.0,A173,1.0,A191,A201,1
A12,15.0,A34,A43,1537.0,A65,A75,4.0,A93,A103,4.0,A121,50.0,A143,A152,2.0,A173,1.0,A192,A201,1
A11,6.0,A32,A42,1374.0,A61,A73,1.0,A93,A101,2.0,A121,36.0,A141,A152,1.0,A172,1.0,A192,A201,1
A11,18.0,A33,A46,8471.0,A65,A73,1.0,A92,A101,2.0,A123,23.0,A143,A151,2.0,A173,1.0,A192,A201,1
A14,6.0,A34,A40,250.0,A64,A73,2.0,A92,A101,2.0,A121,41.0,A141,A152,2.0,A172,1.0,A191,A201,1
A11,24.0,A32,A41,2910.0,A61,A74,2.0,A93,A101,1.0,A124,34.0,A143,A153,1.0,A174,1.0,A192,A201,1
A12,36.0,A32,A43,4795.0,A61,A72,4.0,A92,A101,1.0,A124,30.0,A143,A152,1.0,A174,1.0,A192,A201,1
A14,48.0,A34,A46,6110.0,A61,A73,1.0,A93,A101,3.0,A124,31.0,A141,A153,1.0,A173,1.0,A192,A201,1
A11,24.0,A32,A49,6568.0,A61,A73,2.0,A94,A101,2.0,A123,21.0,A142,A152,1.0,A172,1.0,A191,A201,1
A11,15.0,A34,A42,1478.0,A61,A75,4.0,A93,A101,4.0,A123,44.0,A143,A152,2.0,A173,2.0,A192,A201,1
A14,24.0,A32,A40,1469.0,A62,A75,4.0,A94,A101,4.0,A121,41.0,A143,A151,1.0,A172,1.0,A191,A201,1
A11,10.0,A34,A40,1038.0,A61,A74,4.0,A93,A102,3.0,A122,49.0,A143,A152,2.0,A173,1.0,A192,A201,1
A13,6.0,A33,A43,683.0,A61,A72,2.0,A92,A101,1.0,A122,29.0,A141,A152,1.0,A173,1.0,A191,A201,1
A12,24.0,A33,A42,2333.0,A65,A72,4.0,A93,A101,2.0,A122,29.0,A141,A152,1.0,A172,1.0,A191,A201,1
A14,6.0,A32,A40,672.0,A61,A71,1.0,A92,A101,4.0,A121,54.0,A143,A152,1.0,A171,1.0,A192,A201,1
A14,6.0,A34,A40,2080.0,A63,A73,1.0,A94,A101,2.0,A123,24.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,18.0,A32,A40,2249.0,A62,A74,4.0,A93,A101,3.0,A123,30.0,A143,A152,1.0,A174,2.0,A192,A201,1
A12,6.0,A34,A48,932.0,A65,A74,1.0,A92,A101,3.0,A122,39.0,A143,A152,2.0,A172,1.0,A191,A201,1
A12,12.0,A32,A43,1092.0,A61,A73,4.0,A92,A103,4.0,A121,49.0,A143,A152,2.0,A173,1.0,A192,A201,1
A11,30.0,A32,A43,2522.0,A61,A75,1.0,A93,A103,3.0,A122,39.0,A143,A152,1.0,A173,2.0,A191,A201,1
A12,12.0,A32,A43,1158.0,A63,A73,3.0,A91,A101,1.0,A123,26.0,A143,A152,1.0,A173,1.0,A192,A201,1
A14,36.0,A34,A43,9566.0,A61,A73,2.0,A92,A101,2.0,A123,31.0,A142,A152,2.0,A173,1.0,A191,A201,1
A14,6.0,A34,A40,6761.0,A61,A74,1.0,A93,A101,3.0,A124,45.0,A143,A152,2.0,A174,2.0,A192,A201,1
A11,6.0,A32,A40,1374.0,A65,A71,4.0,A92,A101,3.0,A122,75.0,A143,A152,1.0,A174,1.0,A192,A201,1
A14,22.0,A32,A40,1283.0,A65,A74,4.0,A92,A101,4.0,A122,25.0,A143,A151,1.0,A173,1.0,A191,A201,1
A12,9.0,A34,A42,1919.0,A61,A74,4.0,A93,A101,3.0,A123,35.0,A143,A151,1.0,A173,1.0,A192,A201,1
A11,18.0,A32,A43,1936.0,A65,A74,2.0,A94,A101,4.0,A123,23.0,A143,A151,2.0,A172,1.0,A191,A201,1
A14,15.0,A34,A41,3368.0,A64,A75,3.0,A93,A101,4.0,A124,23.0,A143,A151,2.0,A173,1.0,A192,A201,1
A11,12.0,A32,A42,2578.0,A61,A71,3.0,A92,A101,4.0,A124,55.0,A143,A153,1.0,A174,1.0,A191,A201,1
A14,24.0,A32,A41,5433.0,A65,A71,2.0,A92,A101,4.0,A122,26.0,A143,A151,1.0,A174,1.0,A192,A201,1
A12,36.0,A32,A46,2273.0,A61,A74,3.0,A93,A101,1.0,A123,32.0,A143,A152,2.0,A173,2.0,A191,A201,1
A14,24.0,A34,A43,2223.0,A62,A75,4.0,A93,A101,4.0,A122,52.0,A141,A152,2.0,A173,1.0,A191,A201,1
A14,24.0,A32,A41,2679.0,A61,A72,4.0,A92,A101,1.0,A124,29.0,A143,A152,1.0,A174,1.0,A192,A201,1
A13,12.0,A31,A43,409.0,A64,A73,3.0,A92,A101,3.0,A121,42.0,A143,A151,2.0,A173,1.0,A191,A201,1
A13,12.0,A32,A42,1424.0,A65,A75,3.0,A92,A101,4.0,A121,55.0,A143,A152,1.0,A174,1.0,A192,A201,1
A14,18.0,A34,A41,3229.0,A65,A71,2.0,A93,A101,4.0,A124,38.0,A143,A152,1.0,A174,1.0,A192,A201,1
A12,6.0,A32,A43,753.0,A61,A73,2.0,A92,A103,3.0,A121,64.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,24.0,A34,A41,3868.0,A61,A75,4.0,A92,A101,2.0,A123,41.0,A143,A151,2.0,A174,1.0,A192,A201,1
A14,12.0,A32,A43,3059.0,A64,A74,2.0,A91,A101,4.0,A121,61.0,A143,A152,1.0,A172,1.0,A191,A201,1
A13,24.0,A34,A49,1275.0,A64,A73,2.0,A91,A101,4.0,A121,36.0,A143,A152,2.0,A173,1.0,A192,A201,1
A13,12.0,A32,A43,1881.0,A61,A73,2.0,A92,A101,2.0,A123,44.0,A143,A151,1.0,A172,1.0,A192,A201,1
