@RELATION myRel

@ATTRIBUTE At1 NUMERIC
@ATTRIBUTE At2 NUMERIC
@ATTRIBUTE Class {-1.0, 1.0}

@DATA
1.07,0.61,-1.0
-0.106,-1.14,-1.0
-0.687,-1.29,-1.0
1.29,-0.151,-1.0
-1.01,-1.29,-1.0
-0.593,-1.58,-1.0
-0.103,-1.71,-1.0
0.613,1.35,-1.0
0.726,0.289,-1.0
-0.951,1.39,-1.0
-0.136,-1.41,-1.0
0.311,1.68,-1.0
0.69,0.745,-1.0
1.57,-0.0786,-1.0
1.24,0.79,-1.0
-0.202,1.64,-1.0
0.321,1.58,-1.0
-1.18,0.732,-1.0
-0.634,-0.969,-1.0
0.479,1.48,-1.0
1.64,-0.605,-1.0
-0.838,-1.17,-1.0
-1.21,0.488,-1.0
1.31,0.936,-1.0
1.25,-0.118,-1.0
0.299,-0.819,-1.0
0.417,-1.28,-1.0
1.11,0.989,-1.0
-0.869,1.38,-1.0
-1.53,0.795,-1.0
0.127,1.94,-1.0
-1.77,0.457,-1.0
-1.84,0.0932,-1.0
0.685,0.546,-1.0
1.4,0.43,-1.0
0.604,1.03,-1.0
1.08,0.0163,-1.0
-0.523,-1.31,-1.0
-0.668,-1.13,-1.0
0.661,1.2,-1.0
0.605,1.28,-1.0
-0.372,-1.11,-1.0
0.986,0.843,-1.0
0.362,1.59,-1.0
0.98,0.766,-1.0
0.851,1.46,-1.0
-0.555,-1.02,-1.0
-0.56,1.06,-1.0
-1.32,0.995,-1.0
-0.615,-0.97,-1.0
-1.02,-1.29,-1.0
0.904,0.97,-1.0
0.125,-1.24,-1.0
0.379,-0.755,-1.0
0.552,2.05,-1.0
-0.266,-1.2,-1.0
-0.258,-1.06,-1.0
0.877,0.161,-1.0
0.139,-0.762,-1.0
-0.37,1.48,-1.0
0.826,0.84,-1.0
1.04,0.952,-1.0
0.0558,1.88,-1.0
1.19,-0.278,-1.0
0.101,-1.39,-1.0
0.935,0.556,-1.0
0.0175,1.47,-1.0
1.71,-0.044,-1.0
-0.0203,-1.42,-1.0
0.449,0.648,-1.0
1.66,0.672,-1.0
-0.0418,-1.02,-1.0
-0.706,-0.697,-1.0
-0.834,-1.36,-1.0
-0.968,-0.912,-1.0
-0.549,1.03,-1.0
0.284,2.31,-1.0
-0.00515,1.75,-1.0
-1.01,0.768,-1.0
