@RELATION myRel

@ATTRIBUTE Aa NUMERIC
@ATTRIBUTE Ao NUMERIC
@ATTRIBUTE Dcl NUMERIC
@ATTRIBUTE Iy NUMERIC
@ATTRIBUTE Sh NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
1.081,1.791,-0.267,-0.111,0.103,0
0.122,0.592,1.288,2.546,-0.849,0
-0.288,-0.469,-1.22,-1.177,0.734,0
0.123,0.469,-0.863,2.082,-0.998,0
0.32,1.062,2.934,-0.96,-0.502,0
0.096,0.526,-1.117,1.757,0.0,0
0.163,0.544,0.506,-0.782,2.112,0
0.348,0.475,0.973,2.294,-0.962,0
0.98,-0.688,-0.404,-1.3,-0.836,0
-0.165,-0.917,2.187,-0.856,-0.516,0
4.107,0.607,-0.107,-0.047,-0.033,0
0.403,3.743,-0.784,-0.361,0.0,0
-0.117,-0.583,1.747,-1.156,0.0,0
1.064,-1.011,-0.546,1.599,-0.583,0
0.25,1.016,3.155,-0.745,-0.363,0
-0.089,-0.227,-0.488,1.332,1.273,0
0.401,-1.038,-1.317,-0.736,-0.35,0
0.176,0.438,0.842,2.42,-0.849,0
0.345,2.558,-0.677,-0.497,1.361,0
0.151,0.415,0.501,2.147,-0.987,0
0.755,1.277,-0.297,-0.426,1.903,0
0.152,0.428,0.846,2.32,-0.756,0
0.154,0.339,0.454,-0.625,1.84,0
0.256,0.33,0.62,2.29,-0.736,0
0.472,2.162,-0.375,-0.357,1.611,0
0.148,0.435,0.924,2.222,-0.722,0
0.134,0.326,0.478,-0.788,1.599,0
0.145,0.384,0.491,2.14,-0.834,0
0.267,1.331,2.875,-0.911,0.0,0
0.236,0.373,0.415,1.402,2.043,0
0.344,0.931,2.588,-1.01,-0.41,0
-0.829,-1.062,-0.541,0.403,0.837,0
0.336,0.875,2.576,1.339,-0.557,0
-0.132,-0.333,-0.785,-0.982,-0.628,0
0.341,1.007,2.908,-0.772,0.391,0
0.181,0.48,-0.852,1.305,-0.543,0
0.269,1.041,2.988,-0.754,-0.349,0
0.529,3.296,-0.577,0.887,-0.272,0
0.239,0.883,2.657,-0.735,0.544,0
0.126,0.333,0.597,2.136,-0.791,0
0.691,2.603,-0.49,-0.351,1.17,0
0.15,0.408,0.536,2.115,-0.833,0
0.148,0.329,0.459,-0.732,1.514,0
0.111,0.558,1.359,2.035,-0.662,0
3.909,0.584,-0.13,-0.087,0.057,0
-0.22,3.101,-0.64,-0.313,-0.165,0
3.658,-0.285,0.157,-0.082,-0.092,0
0.503,3.593,-0.575,0.493,-0.17,0
3.617,-0.272,0.34,0.224,-0.073,0
0.279,1.213,2.769,-0.858,-0.372,0
0.345,2.885,-0.651,0.618,1.117,0
0.21,0.847,1.963,-0.94,-0.732,0
3.598,-0.319,-0.143,0.078,-0.054,0
-0.099,1.137,2.58,-0.724,0.0,0
3.777,0.592,-0.136,-0.103,-0.056,0
0.127,0.455,1.162,2.31,0.0,0
