@RELATION myRel

@ATTRIBUTE Aa NUMERIC
@ATTRIBUTE Ao NUMERIC
@ATTRIBUTE Dcl NUMERIC
@ATTRIBUTE Iy NUMERIC
@ATTRIBUTE Sh NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
1.21,0.592,-0.232,0.179,-0.092,0
0.254,2.007,1.015,0.607,1.433,0
0.236,1.165,2.107,-0.919,-0.514,0
2.329,0.794,0.311,-0.082,0.075,0
1.066,2.814,-0.428,-0.202,0.254,0
0.135,0.436,-0.691,1.634,1.761,0
0.267,1.123,1.753,-0.485,-0.25,0
0.276,1.107,2.229,1.18,0.0,0
1.101,2.678,-0.468,0.32,0.365,0
2.667,0.33,0.189,0.226,-0.08,0
0.158,0.416,0.499,2.135,-0.893,0
-0.148,1.243,1.99,-0.757,0.0,0
3.137,1.237,-0.209,0.443,-0.148,0
0.279,1.735,1.006,0.443,-0.189,0
0.422,1.875,1.571,-0.461,0.272,0
0.242,0.555,1.887,1.59,-0.572,0
0.193,2.092,1.05,-0.462,0.0,0
-0.109,1.071,1.948,-0.623,-0.391,0
0.446,1.034,2.48,0.914,-0.38,0
0.798,1.703,-0.323,0.333,-0.376,0
0.805,1.398,0.578,0.222,0.206,0
2.203,-0.374,-0.128,-0.092,-0.065,0
0.635,3.127,-0.56,-0.274,-0.393,0
0.262,2.524,-0.395,0.238,0.168,0
0.269,0.362,0.661,2.266,-0.705,0
0.246,0.683,2.489,-0.781,0.376,0
2.653,0.448,0.241,0.089,0.092,0
1.696,1.867,-0.27,0.139,0.158,0
1.098,2.506,-0.347,-0.148,0.181,0
0.327,2.711,0.738,0.307,0.191,0
1.19,1.647,-0.274,-0.121,-0.06,0
0.303,2.881,-0.481,0.221,0.157,0
0.375,2.555,-0.47,0.26,0.0,0
1.067,2.209,-0.336,-0.142,0.106,0
2.99,0.309,-0.153,-0.171,-0.13,0
2.493,0.322,0.402,-0.096,-0.07,0
0.563,1.967,2.317,-0.589,-0.3,0
2.055,1.155,0.3,0.227,-0.065,0
2.534,0.267,0.133,0.16,-0.065,0
0.351,1.331,1.073,0.488,-0.213,0
2.617,0.969,0.279,-0.087,-0.056,0
3.065,0.629,0.355,-0.085,-0.062,0
0.334,1.478,2.134,-0.654,0.593,0
0.223,0.395,0.399,1.208,1.386,0
3.154,0.61,-0.149,-0.08,-0.049,0
2.511,1.155,-0.241,-0.087,0.0,0
2.559,1.059,1.477,-0.32,-0.123,0
1.482,1.573,0.795,0.349,0.318,0
0.98,2.364,-0.496,-0.186,-0.109,0
0.117,0.276,0.554,1.391,1.095,0
