@RELATION myRel

@ATTRIBUTE Aa NUMERIC
@ATTRIBUTE Ao NUMERIC
@ATTRIBUTE Dcl NUMERIC
@ATTRIBUTE Iy NUMERIC
@ATTRIBUTE Sh NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
0.226,0.807,2.147,-0.703,0.395,0
0.239,0.883,2.657,-0.735,0.544,0
0.416,1.042,2.32,-0.564,0.337,0
0.339,1.148,2.217,-0.623,0.628,0
0.269,1.497,2.217,-0.727,0.566,0
0.219,1.279,2.585,-0.599,0.462,0
0.266,1.04,2.761,-0.833,0.651,0
0.255,1.078,2.834,-0.775,0.0,0
0.279,0.99,2.555,-0.738,0.0,0
0.164,0.946,2.589,-0.668,0.0,0
0.213,1.032,2.25,-0.676,0.0,0
0.225,1.075,2.367,-0.734,0.0,0
0.295,1.277,2.28,-0.574,0.0,0
0.387,1.253,2.328,-0.772,0.0,0
0.183,1.414,2.471,-0.728,0.0,0
0.268,1.333,2.89,-0.748,0.0,0
0.26,0.903,2.735,-0.781,0.0,0
0.296,1.138,2.518,-0.974,0.0,0
0.137,0.894,2.211,-0.765,0.0,0
0.229,1.178,1.965,-0.581,0.0,0
0.243,1.116,1.773,-0.575,0.0,0
0.19,1.045,1.586,-0.476,0.0,0
0.275,1.133,1.375,-0.478,0.0,0
0.339,1.547,1.298,-0.443,0.0,0
0.378,1.737,1.078,-0.445,0.0,0
0.687,2.277,1.469,-0.354,-0.167,0
0.607,2.526,1.618,-0.467,-0.205,0
0.716,2.804,1.443,-0.436,-0.201,0
0.55,2.399,1.564,-0.498,0.0,0
0.699,2.221,1.728,-0.482,-0.21,0
0.499,2.156,1.685,-0.588,0.0,0
0.309,1.464,1.893,-0.551,0.0,0
0.198,1.356,1.442,-0.491,-0.181,0
0.177,1.241,1.328,-0.472,-0.209,0
0.22,1.327,1.277,-0.376,-0.236,0
0.318,1.72,1.373,-0.39,-0.238,0
0.369,1.723,1.396,-0.502,-0.282,0
0.368,1.5,1.976,-0.459,-0.282,0
0.193,1.147,1.688,-0.523,-0.188,0
0.297,1.222,1.612,-0.49,-0.261,0
0.221,1.392,1.834,-0.615,-0.266,0
0.179,1.111,1.985,-0.639,-0.268,0
0.165,1.031,1.947,-0.544,-0.228,0
0.264,1.163,1.833,-0.512,-0.233,0
0.407,1.041,1.959,-0.535,-0.257,0
0.493,1.066,1.947,-0.443,-0.263,0
0.308,0.943,1.352,-0.387,-0.234,0
0.158,0.825,1.925,-0.892,-0.4,0
0.166,0.873,2.163,-0.837,-0.398,0
0.19,0.987,2.322,-0.656,-0.279,0
0.363,0.994,2.446,-0.692,-0.384,0
0.263,0.913,2.603,-0.687,-0.337,0
0.277,1.136,2.468,-0.763,-0.41,0
0.323,1.208,2.573,-0.702,-0.433,0
0.338,1.087,2.791,-0.824,-0.381,0
0.288,1.247,2.861,-0.914,-0.366,0
0.264,1.276,2.683,-0.635,-0.376,0
0.289,1.436,2.611,-0.659,-0.315,0
0.165,1.257,2.274,-0.82,-0.35,0
0.292,1.029,2.387,-0.663,-0.352,0
0.54,0.904,2.359,-0.803,-0.314,0
0.313,0.854,2.147,-0.659,-0.316,0
0.339,1.134,2.134,-0.593,-0.27,0
0.211,1.327,2.243,-0.647,-0.297,0
-0.144,1.214,1.673,-0.53,-0.214,0
-0.152,1.182,2.085,-0.991,0.0,0
0.334,1.489,2.335,-0.665,0.0,0
0.343,1.65,2.263,-0.612,0.0,0
0.234,1.108,1.884,-0.552,0.0,0
0.212,1.047,1.964,-0.541,0.0,0
0.127,0.79,2.136,-0.854,0.0,0
-0.121,1.064,2.83,-0.798,0.0,0
0.3,1.64,2.633,-0.795,0.0,0
0.364,1.863,2.606,-0.605,-0.248,0
0.563,1.967,2.317,-0.589,-0.3,0
0.586,2.32,2.095,-0.587,-0.313,0
0.53,1.9,2.119,-0.474,-0.298,0
0.321,1.628,2.141,-0.561,-0.275,0
0.23,1.214,1.916,-0.55,-0.535,0
0.175,0.964,2.055,-0.756,-0.625,0
0.15,0.933,2.363,-0.742,-0.617,0
0.266,0.825,2.484,-0.527,-0.319,0
0.522,1.165,2.095,-0.565,-0.24,0
0.468,1.63,1.877,-0.571,0.0,0
0.269,1.522,1.144,-0.469,0.338,0
0.259,1.413,0.988,-0.348,0.246,0
0.705,1.796,1.078,-0.286,0.215,0
0.978,1.539,0.567,-0.178,0.141,0
1.084,1.32,0.354,-0.113,0.077,0
0.767,1.165,0.339,-0.1,-0.065,0
1.139,0.866,0.238,0.096,0.081,0
1.203,1.319,0.321,0.196,0.163,0
1.461,1.555,0.384,0.271,0.149,0
1.482,1.573,0.795,0.349,0.318,0
1.821,1.432,0.518,0.343,0.651,0
2.075,2.142,0.539,0.457,0.301,0
1.669,2.226,0.545,0.229,-0.139,0
2.064,1.895,0.839,-0.229,0.164,0
2.094,1.535,0.75,-0.175,0.146,0
1.857,1.077,1.08,-0.289,0.194,0
1.989,1.975,0.622,-0.18,-0.102,0
1.508,1.749,0.569,-0.174,0.0,0
